name,ui,normalized_name,semanticTypes,definition
leads,C4053416,"Leads, Electromyograph",Medical Device,"Leads designed to conduct electrical biosignals caused by the activity of the skeletal muscles from electrodes placed within or near the muscles to an impedance matching device (known as a headstage) and/or preamplifier which in turn is connected through a cable to an electromyograph (EMG). These leads (known as patient leads) typically consist of flexible wires (e.g., 3, 5) that are completely isolated except at the electrode end. EMG leads are used with equipment intended to detect, process, and record the electrical activity of the skeletal muscles, such as electromyographs or evoked potential units with electromyography capabilities."
upright position,C0231472,Standing position,Spatial Concept,Human position in which the body is held in an upright orthostatic position and supported only by the feet.
amount,C1265611,Quantity,Quantitative Concept,How much there is of something that you can measure; the total amount or number.
Rib,C0035561,Bone structure of rib,"Body Part, Organ, or Organ Component","A set of twelve curved bones which connect to the vertebral column posteriorly, and terminate anteriorly as costal cartilage. Together, they form a protective cage around the internal thoracic organs."
thickenings,C0205400,Thickened,Finding,An increase in the thickness of a structure.
injury,C3263722,Traumatic AND/OR non-traumatic injury,Injury or Poisoning,Trastorno resultante del daño corporal físico
malalignment,C1275957,Misalignment,Qualitative Concept,Abnormallly positioned or aligned in relation to another structure.
thorax,C0817096,Chest,Body Location or Region,"Subdivision of the trunk, which is demarcated from the neck by the plane of the superior thoracic aperture and from the abdomen internally by the inferior surface of the diaphragm and externally by the costal margin; together with the abdomen, pelvis and perineum, it constitutes the trunk. Examples: There is only one thorax."
injuries,C3263723,Traumatic injury,Injury or Poisoning,Disorder resulting from physical damage to the body
L 2 through L 4,C0004604,Lumbar Vertebrae,Sign or Symptom,"Akutní nebo chronická bolest lokalizovaná v zadní části hrudníku, lumbosakrální oblasti nebo v přiléhajících oblastech."
comminuted,C0476171,"Fractures, Comminuted",Injury or Poisoning,"Typ zlomeniny, kde je kost rozštípnutá nebo rozdrcená."
scapula,C0036277,Bone structure of scapula,"Body Part, Organ, or Organ Component","Två platta, triangulära ben som tillsammans bildar den bakre delen av skuldergördeln."
hemithorax,C1269692,Entire hemithorax,"Body Part, Organ, or Organ Component","None, None)"
to the right,C0546911,To the right (qualifier value),Spatial Concept,"None, None)"
clavicle,C0008913,Bone structure of clavicle,"Body Part, Organ, or Organ Component","Long bone, each instance of which articulates with some scapula and sternum."
emphysema,C0034067,Pulmonary Emphysema,Disease or Syndrome,"Trvale nadměrný obsah vzduchu v plicích při současném úbytku a poškození vlastní plicní tkáně. Nejčastěji součást CHOPN (obstrukční plicní nemoci). K dalším příčinám e. patří deficit alfa1 antitrypsinu, McLeodův syndrom, e. v okolí jizvení aj. Z hlediska patologické anatomie se rozlišuje e. centrilobulární, vznikající v rámci CHOPN, a panacinární. Zhoršuje výměnu plynů v plicích. Pacient trpí dušností (námahovou, později i klidovou), hyperventilace udržuje relativně dobrou saturaci krve kyslíkem (srov. pink puffer). Je snížena elasticita plic, mohou se vytvářet velké vzduchové buly (bulózní e.), při jejichž ruptuře vzniká pneumothorax. Časté je následné postižení srdce (cor pulmonale). (cit. Velký lékařský slovník online, 2014 http://lekarske.slovniky.cz/ )"
left - sided,C0443246,Left sided,Spatial Concept,An abnormal transposition to the left side.
Pneumomediastinum,C0032283,"Pneumomediastinum, Diagnostic",Diagnostic Procedure,Deliberate introduction of air or gas into the mediastinum as an aid to examination and diagnosis.
severely,C0205082,Severe (severity modifier),Finding,"Head injury, Bone marrow transplantation, Intensive care patients (APACHE>10)."
hemorrahge,C0019080,Hemorrhage,Pathologic Function,Bleeding or escape of blood from a vessel.
limited,C0439801,Limited (extensiveness),Functional Concept,"Restricted or in amount, size, or extent."
higher,C0205250,High,Qualitative Concept,An elevated level or position or degree; greater than normal in degree or intensity or amount.
aortosclerosis,C0340663,Aortic Diseases,Injury or Poisoning,"None, None)"
bleeding,C0019080,Hemorrhage,Pathologic Function,Bleeding or escape of blood from a vessel.
severe,C0205082,Severe (severity modifier),Finding,"Head injury, Bone marrow transplantation, Intensive care patients (APACHE>10)."
pneumo mediastinum,C0032285,Pneumomediastinum,Disease or Syndrome,"Infekce plic, často doprovázená zánětem."
Unremarkable,C0205307,Normal,Qualitative Concept,"In pathology, a term that is used to describe a tissue specimen that has a normal appearance."
tuberculous,C0041296,Tuberculosis,Disease or Syndrome,Any of the infectious diseases of man and other animals caused by species of MYCOBACTERIUM TUBERCULOSIS.
excavatum,C2051831,Pectus excavatum,Anatomical Abnormality,"A defect of the chest wall characterized by a depression of the sternum, giving the chest (pectus"") a caved-in (""excavatum"") appearance."" [https://orcid.org/0000-0002-0736-9199]"
feeding,C2987508,Feeding activity,Activity,To supply with nourishment; give food to.
tubes,C0175730,biomedical tube device,Medical Device,"Hollow cylindrical devices designed with a diameter, length, and other physical and/or chemical characteristics appropriate for a particular use. Tubes may be rigid, semi-rigid, or flexible; they are typically made of metals, metal alloys, rubber, plastics, or glass. Dedicated tubes are available for direct use in clinical procedures (e.g., gastrointestinal decompression, enteral feeding, and tracheostomy); as components of or attachments for medical devices; for use in the clinical laboratory; and also for a diversity of applications in the healthcare environment. Tubes are frequently a component of tubing sets (e.g., hemodialysis tubing sets)."
pneumothoraces,C4025027,Repeated pneumothoraces,Disease or Syndrome,"None, None)"
positions,C0733755,Positioning (attribute),Spatial Concept,<p>An observation denoting the physical location of a person or thing based on a reference coordinate system.</p>
bubble,C0001863,Air bubble,Substance,"None, None)"
Post - operative,C0241311,post operative (finding),Finding,"<p>After any <a href=""https://medlineplus.gov/surgery.html"">operation</a>, you\'ll have some side effects. There is usually some pain with surgery. There may also be swelling and soreness around the area that the surgeon cut. Your surgeon can tell you which side effects to expect.</p> <p>There can also be complications. These are unplanned events linked to the operation. Some complications are infection, too much bleeding, reaction to <a href=""https://medlineplus.gov/anesthesia.html"">anesthesia</a>, or accidental injury. Some people have a greater risk of complications because of other medical conditions.</p> <p>Your surgeon can tell you how you might feel and what you will be able to do - or not do - the first few days, weeks, or months after surgery. Some other questions to ask are:</p><ul> <li>How long you will be in the hospital</li> <li>What kind of supplies, equipment, and help you might need when you go home</li> <li>When you can go back to work</li> <li>When it is ok to start exercising again</li> <li>Are they any other restrictions in your activities</li> </ul> <p>Following your surgeon\'s advice can help you recover as soon as possible.</p> <p class="""">Agency for Healthcare Research and Quality</p>"
Calcified,C0175895,Calcified (qualifier value),Qualitative Concept,having calcium accumulation in the body
demineralized,C1832069,Demineralized Bone Matrix (biomedical material),Biomedical or Dental Material,"Demineralized allograft bone with osteoinductive activity. Demineralizedbone matrices are prepared by acid extraction of allograftbone, resulting in loss of most of the mineralized componentbut retention of collagen and noncollagenous proteins, includinggrowth factors.The efficacy of a demineralizedbone matrix (DBM) as a bone-graft substitute or extender may be related to the total amount of bone morphogeneticprotein (BMP) present, and the ratios of the different BMPspresent. BMPs belong to the transforming growth factor (TGF) superfamily of proteins. Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C61085"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C61085"" NCI Thesaurus)"
vertebral,C0037949,Vertebral column,"Body Part, Organ, or Organ Component","Páteř tvoří nosnou oporu a pohyblivý pilíř celého těla. Je součástí osového skeletu. Je složena z částí - segmentů (krčního C1-C7, hrudního Th1-Th12, bederního L1-L5, křížového S1-S5 a kostrčního Co1-Co4(Co5). Páteř tvoří jednotlivé kosti, obratle (vertebrae), které jsou navzájem spojeny pevnými, avšak pohyblivými spoji. (upraveno podle Wikiskripta 2018 http://www.wikiskripta.eu/)"
bodies,C0242821,Human body,Human,Člověk jako neanatomická a nezoologická entita. Důraz je kladen na filozofické nebo umělecké zacházení s lidskou bytostí a zahrnuje laické a společenské postoje k tělu v historii.
humeral,C0020164,Bone structure of humerus,"Body Part, Organ, or Organ Component",Ben hos människor och primater som sträcker sig från skulderleden till armbågsleden.
calcific,C1533591,Calcification,Pathologic Function,"None, None)"
worsening,C0332271,Worsening (qualifier value),Qualitative Concept,"None, None)"
vessels,C0005847,Blood Vessel,"Body Part, Organ, or Organ Component","Cualquiera de los conductos tubulares que transportan la sangre (las arterias, las arteriolas, los capilares, las vénulas y las venas)."
sinus,C1305231,Sinus - general anatomical term,Body Space or Junction,"A recess, cavity, or channel."
peribronchial,C0225607,Structure of peribronchial tissue,Tissue,"None, None)"
poor,C2700379,Poor - qualifier,Qualitative Concept,Of low value or worth.
reexpansion,C1611712,Reexpansion pulmonary oedema,Disease or Syndrome,"None, None)"
thoracocentesis,C0189477,Thoracentesis,Therapeutic or Preventive Procedure,The removal of excess fluid via needle puncture from the thoracic cavity.
pre - existing,C2347662,Pre-existing,Qualitative Concept,Having been present before a specific date or event.
post - procedural,C5885899,Post-procedural,Temporal Concept,"None, None)"
prior,C0332152,Before,Temporal Concept,Earlier in time or order.
in size,C0541591,changes in size,Quantitative Concept,"None, None)"
lumbar,C0024090,Lumbar Region,Body Location or Region,subdivision of back each instance of which has as its constitutional part some complete set of vertebral arches (L1-L5) and anatomical entities located posterior to them; together with back of thorax and back of pelvis constitutes the back. Examples: There is only one back of abdomen.
Enlarging,C0442800,Enlarged,Qualitative Concept,"None, None)"
haziness,C0344232,Blurred vision,Finding,finding
collapse,C0344329,Collapse (finding),Finding,Failure of a physiologic function or system.
Feeding,C2987508,Feeding activity,Activity,To supply with nourishment; give food to.
stylet,C0183663,"Stylet, device",Medical Device,"A thin metal wire designed to be passed through a needle, catheter, or cannula to stiffen it or clear it of debris."
internal jugular central venous,C0398279,Central venous cannula insertion via internal jugular vein,Therapeutic or Preventive Procedure,"None, None)"
fluid level,C0740844,air fluid level (finding),Finding,"None, None)"
Comminuted,C0476171,"Fractures, Comminuted",Injury or Poisoning,"Typ zlomeniny, kde je kost rozštípnutá nebo rozdrcená."
fusion,C1293131,Fusion procedure,Therapeutic or Preventive Procedure,Procedimiento que permite unir estructuralmente dos estructuras adyacentes
hardware,C1880159,Computer Hardware Device,Manufactured Object,The physical components from which a computer is constructed (electronic circuits and input/output devices).
Displaced,C0012727,Spatial Displacement,Spatial Concept,"None, None)"
transesophageal,C0522518,Transesophageal approach,Spatial Concept,"None, None)"
noncardiogenic,C3241936,Non-cardiogenic pulmonary edema,Pathologic Function,Pulmonary edema that is not a result of cardiac dysfunction.
Findings,C2607943,findings aspects,Functional Concept,"None, None)"
bones,C0262950,Skeletal bone,"Body Part, Organ, or Organ Component","Organ with cavitated organ parts, each instance of which has as its direct parts some maximal complement of compact (cortical) and cancellous bone, and some maximal complement of bone marrow cavities; together with instances of other bones, cartilages and joints, it constitutes some skeletal system. Examples: femur, sternum, maxilla, vertebra, talus."
platelike,C2021377,x-ray of chest: platelike atelectasis,Finding,"None, None)"
extubated,C0553891,Tracheal Extubation,Therapeutic or Preventive Procedure,Purposeful removal of the endotracheal tube from the nasopharyngeal or oropharyngeal airway
mucous,C0026727,Mucus (substance),Body Substance,"Viskózní sekret sliznice. Obsahuje mucin, bílé krvinky, vodu, anorganické soli a odloučené buňky."
lying,C2584317,Lying down,Physiologic Function,"Getting into and out of a lying down position or changing body position from horizonal to any other position, such as standing up or sitting down."
2,C0205448,Two,Quantitative Concept,A natural number greater than 1 and less than 3 and the quantity that it denotes: the sum of one and one.
ARDS,C0035222,"Respiratory Distress Syndrome, Adult",Disease or Syndrome,"fulminant pulmonary interstitial and alveolar edema resulting from diffuse infection, shock, or trauma of the lungs."
air bronchograms,C3669021,Air bronchogram on radiograph (finding),Finding,Bronquios llenos de aire visibles por la opacificación de los alvéolos circundantes.
catheters,C0085590,catheter device,Medical Device,A flexible tube designed to transfer fluids into or out of the body.
satisfactory,C1547307,Satisfactory - Patient Condition Code,Intellectual Product,"None, None)"
Moderate - to - severe,C1299393,Moderate to severe,Qualitative Concept,"None, None)"
moderate - to - severe,C1299393,Moderate to severe,Qualitative Concept,"None, None)"
segment,C0441635,Anatomical segmentation,Spatial Concept,One of the parts into which something naturally divides.
Widened,C0332464,Widening,Spatial Concept,"Having a width, or side to side dimension, that is greater than is normally expected."
ground - glass,C4697773,Ground glass,Finding,"None, None)"
adenopathy,C0497156,Lymphadenopathy,Disease or Syndrome,"Abnormální velikost, počet nebo konzistence lymfatických uzlin."
Expected,C1517001,Expected (qualifier),Intellectual Product,"<p>This result has been evaluated in light of known contraindicators. Once those contraindicators have been taken into account the result is determined to be ""Expected"" (e.g., presence of drugs in a patient that is taking prescription medication for pain management).</p>"
Little,C0023882,Little's Disease,Disease or Syndrome,"Spasticity (neuromuscular hypertonia) primarily in the muscles of the legs, hips, and pelvis. [https://orcid.org/0000-0002-0736-9199]"
extubation,C0553891,Tracheal Extubation,Therapeutic or Preventive Procedure,Purposeful removal of the endotracheal tube from the nasopharyngeal or oropharyngeal airway
NGT,C0085678,Nasogastric tube,Medical Device,"A gastrointestinal tube and accessories is a device that consists of flexible or semi-rigid tubing used for instilling fluids into, withdrawing fluids from, splinting, or suppressing bleeding of the alimentary tract. This device may incorporate an integral inflatable balloon for retention or hemostasis. This generic type of device includes the hemostatic bag, irrigation and aspiration catheter (gastric, colonic, etc.), rectal catheter, sterile infant gavage set, gastrointestinal string and tubes to locate internal bleeding, double lumen tube for intestinal decompression or intubation, feeding tube, gastroenterostomy tube, Levine tube, nasogastric tube, single lumen tube with mercury weight balloon for intestinal intubation or decompression, and gastro-urological irrigation tray (for gastrological use)."
removal,C1883720,Removing (action),Activity,Shift the position or location of; take out of.
bronchograms,C0006282,Contrast bronchogram,Diagnostic Procedure,"Rentgenové vyšetření průdušek pomocí kontrastní látky podané do průdušek. (Cit. Velký lékařský slovník, http://lekarske.slovniky.cz/ 2014)"
obliterating,C0700134,obliterated,Functional Concept,"None, None)"
Enlargement,C2711450,Enlargement (morphologic abnormality),Anatomical Abnormality,"None, None)"
cardiomegally,C0007226,Cardiomegaly,Body System,"bodily system consisting of the heart, blood vessels, and blood that circulates blood throughout the body, delivers nutrients and other essential materials to cells, and removes waste products."
right side,C0205090,Right,Spatial Concept,Being or located on or directed toward the side of the body to the east when facing north.
secretions,C0036537,Bodily secretions,Body Substance,"Endogenous substances produced through the activity of intact cells of glands, tissues, or organs."
cage,C0337189,"Cage, device",Manufactured Object,"None, None)"
gas,C0017110,Gases,Chemical Viewed Structurally,"Plyn neboli plynná látka je jedno ze skupenství látek, při kterém jsou částice relativně daleko od sebe, pohybují se v celém objemu a nepůsobí na sebe přitažlivou silou. V chemických rovnicích se označuje písmenem g (gas). Plynná tělesa nemají svůj tvar, ale jejich tvar odpovídá tvaru nádoby; nemají vlastní objem, ale vyplňují vždy celý objem nádoby; plynná tělesa nemají volný povrch (hladinu); plyny jsou stlačitelné; vedou elektrický proud jen za určitých speciálních podmínek; teplo se v plynech může šířit prouděním. Celkový tlak plynu ve směsi vzájemně chemicky neinteragujících plynů je dán Daltonovým zákonem. (upraveno podle Wikipedie 2022 http://www.cs.wikipedia.org/)"
under,C0542339,Inferior,Spatial Concept,In anatomy indicating lower than a given reference point.
subdiaphragmatic,C0230210,Subdiaphragmatic region,Body Location or Region,"None, None)"
approximately,C0332232,Approximate,Qualitative Concept,Not quite exact or correct; almost exact or correct.
Worsening,C0332271,Worsening (qualifier value),Qualitative Concept,"None, None)"
supine,C0038846,Supine Position,Spatial Concept,The posture of an individual lying face up.
great,C1704243,Greater,Quantitative Concept,"Notable in size, number, measure, magnitude, degree, or effectiveness."
coursing,C0750729,Course,Temporal Concept,"Passage through time; duration; a systematic or/and orderly succession; a sequence, e.g. course of treatment; a mode of action or behavior; natural development, typical manner of proceeding."
expected,C1517001,Expected (qualifier),Intellectual Product,"<p>This result has been evaluated in light of known contraindicators. Once those contraindicators have been taken into account the result is determined to be ""Expected"" (e.g., presence of drugs in a patient that is taking prescription medication for pain management).</p>"
widened,C0332464,Widening,Spatial Concept,"Having a width, or side to side dimension, that is greater than is normally expected."
fat,C0001527,Adipose tissue,Tissue,"Dense irregular connective tissue, which predominantly consists of adipocytes."
type,C0332307,Type - attribute,Qualitative Concept,"This attribute is used to specify the type of inherent quality or process that is to be observed. Its values are abstract types of quality (length, odor, concentration) or abstract types of process features (rate, speed), and do not include qualities that are located (length of arm, odor of urine), or given a value (elevated concentration)."
nasoenteric,C3204183,Nasoenteral tube,Medical Device,"Tubes designed to provide access to the small intestines (duodenum or jejunum) through the nose. These devices typically consist of a rubber or plastic tube that is inserted through the nose, down the throat, through the esophagus, along the lesser curvature of the stomach, through the pyloric sphincter, and into the duodenum. Nasoenteral tubes are longer than nasogastric tubes. Dedicated tubes used for decompression and/or enteral feeding are also available."
gastric,C1704242,Gastric (qualifier value),Qualitative Concept,Relating to the stomach.
drainage,C0013103,Drainage procedure,Therapeutic or Preventive Procedure,"The removal of fluids or discharges from the body, such as from a wound, sore, or cavity."
AICD,C0972395,Automatic Implantable Cardioverter-Defibrillators,Medical Device,"None, None)"
single,C0205171,Singular,Quantitative Concept,Not accompanied by another or others; exclusive of anyone or anything else.
procedure,C2700391,Procedure (set of actions),Functional Concept,Any stepwise set of actions.
resection,C0728940,Excision,Therapeutic or Preventive Procedure,"The surgical removal of a lesion, often as part of a biopsy and with healthy margins."
nodular,C0205297,Nodular (qualifier value),Qualitative Concept,"None, None)"
suture,C1705834,Suture Device,Manufactured Object,"A natural (e.g., catgut, silk, or linen) or synthetic, or other (e.g., thin metal wire) monofilament or multifilament material used surgically to close a surgical or accidental wound and to secure apposition of the edges and join tissues."
sutures,C0038969,Surgical sutures,Medical Device,"Materiais usados no fechamento de uma ferida cirúrgica ou traumática com pontos. (Dorland, 28a ed)"
Free,C0332296,Free of (attribute),Functional Concept,"None, None)"
ill,C0231218,Malaise,Sign or Symptom,"A feeling of general discomfort, weakness, or lack of health. []"
Rounded,C0332490,Round shape,Spatial Concept,The shape of a circle.
discrete,C0443299,Separate,Qualitative Concept,Independent; not united or joint.
suprahilar,C0934260,Suprahilar part of mediastinal pleura,"Body Part, Organ, or Organ Component","None, None)"
consolidative,C0702116,Consolidation,Qualitative Concept,"None, None)"
micronodules,C0431693,Micronodule,Disease or Syndrome,"A form of autosomal dominant tubulointerstitial kidney disease (ADTKD) due to variants in or whole gene deletions of &lt;i&gt;HNF1B&lt;/i&gt;, which is characterized by chronic tubulo-interstitial nephritis, that manifests with nonsignificant urinalysis and slowly progressive renal failure. It can be associated with cystic kidney dysplasia, early onset diabetes and extrarenal manifestations."
thoracolumbar junction,C1508706,Spine Thoracolumbar Junction,Body Space or Junction,"None, None)"
Opacity,C1265876,Abnormally opaque structure (morphologic abnormality),Pathologic Function,"None, None)"
bulging,C0333056,protrusion,Anatomical Abnormality,"None, None)"
Nodular,C0205297,Nodular (qualifier value),Qualitative Concept,"None, None)"
wedge resection,C0184909,Wedge resection - action,Therapeutic or Preventive Procedure,Excision of a wedge-shaped piece of tissue (often but not necessarily for diagnostic examination)
sarcoid,C0036202,Sarcoidosis,Disease or Syndrome,"A rare multisystemic, autoinflammatory disorder of unknown etiology characterized by the formation of immune, non-caseating granulomas in any organ(s), leading to variable clinical symptoms and severity. Clinical presentation is typically with persistent dry cough, eye or skin manifestations, peripheral lymph nodes, fatigue, weight loss, fever or night sweats, and Löfgren syndrome."
flair,C2826145,Fluid Attenuated Inversion Recovery,Diagnostic Procedure,"A magnetic resonance imaging (MRI) pulse sequence that uses an inversion recovery technique to null fluids present in the imaging area, improving clarity of the object of interest."
compartment,C1185625,Anatomical compartments,Intellectual Product,"<p>This is the healthcare analog to the US Intelligence Community\'s concept of a Special Access Program. Compartment codes may be used in as a field value in an initiator\'s clearance to indicate permission to access and use an IT Resource with a security label having the same compartment value in security category label field.</p><p>Map: Aligns with ISO 2382-8 definition of Compartment - ""A division of data into isolated blocks with separate security controls for the purpose of reducing risk.""</p>"
sinuses,C0030471,Nasal sinus,Body Space or Junction,"Any one of the air-filled spaces within the ethmoid, frontal, maxillary, or sphenoid bones, which communicate with the nasal cavity."
Vertebral,C0037949,Vertebral column,"Body Part, Organ, or Organ Component","Páteř tvoří nosnou oporu a pohyblivý pilíř celého těla. Je součástí osového skeletu. Je složena z částí - segmentů (krčního C1-C7, hrudního Th1-Th12, bederního L1-L5, křížového S1-S5 a kostrčního Co1-Co4(Co5). Páteř tvoří jednotlivé kosti, obratle (vertebrae), které jsou navzájem spojeny pevnými, avšak pohyblivými spoji. (upraveno podle Wikiskripta 2018 http://www.wikiskripta.eu/)"
layered,C0934502,anatomical layer,"Body Part, Organ, or Organ Component",A relatively thin sheetlike expanse or region lying over or under another.
Layered,C0934502,anatomical layer,"Body Part, Organ, or Organ Component",A relatively thin sheetlike expanse or region lying over or under another.
masses,C1265602,Multiple masses,Anatomical Abnormality,"None, None)"
Asymmetric,C0332514,Asymmetry (qualifier value),Qualitative Concept,A finding of a lack of symmetry between two or more bilaterally aligned structures.
manifestation,C1280464,Manifestation of,Qualitative Concept,"None, None)"
decompensating,C0205434,Decompensated,Qualitative Concept,"None, None)"
Scoliosis,C0036439,"Scoliosis, unspecified",Disease or Syndrome,"Vychýlení páteře do strany. S. může být vrozená nebo způsobená různými onemocněními páteře, zádových svalů nebo nervů. S. může mít charakter nestrukturální (např. při lumboischialgických bolestech, nestejné délce dolních končetin, onemocnění hrudní dutiny) nebo strukturální (klínovitá hemivertebra, torze obratle aj.). Podle příčiny se rovněž rozlišuje s. osteopatická, myopatická, neuropatická. Značná část strukturálních s. je idiopatická. V léčbě je důležité cílené cvičení, vhodné je např. plavání, korzety, v některých případech je léčba operační. Srov. kyfoskolióza. (cit. Velký lékařský slovník online, 2013 http://lekarske.slovniky.cz/ )"
ENLARGEMENT,C2711450,Enlargement (morphologic abnormality),Anatomical Abnormality,"None, None)"
PULMONARY,C0024109,Lung,"Body Part, Organ, or Organ Component","Lobular organ the parenchyma of which consists of air-filled alveoli which communicate with the tracheobronchial tree. Examples: There are only two instances, right lung and left lung."
EDEMA,C0013604,Edema,Pathologic Function,Abnormal fluid accumulation in TISSUES or body cavities. Most cases of edema are present under the SKIN in SUBCUTANEOUS TISSUE.
BILATERAL,C0238767,Bilateral,Spatial Concept,Being present on both sides of the body. [https://orcid.org/0000-0002-0736-9199]
PLEURAL,C1522720,Pleural,Spatial Concept,Of or pertaining to the pleura.
EFFUSIONS,C0013687,effusion,Pathologic Function,a collection of fluid in a body cavity
BASILAR,C1184146,Basilar,Spatial Concept,"None, None)"
ATELECTASIS,C0004144,Atelectasis,Pathologic Function,"Ausência de ar no pulmão inteiro ou em parte dele, como no pulmão incompletamente inflado do recém-nascido ou num pulmão adulto colapsado. Atelectasia pulmonar pode ser causada obstrução das vias respiratórias, compressão pulmonar, contração fibrótica ou outros fatores."
Increasing,C0442808,Increasing (qualifier value),Functional Concept,"None, None)"
improving,C1272745,Improving (qualifier value),Qualitative Concept,"None, None)"
inserted,C0441587,Clinical act of insertion,Health Care Activity,<p>Insertion</p>
kyphotic,C0264190,Kyphotic pelvis,Disease or Syndrome,"None, None)"
curvature,C0333063,Abnormal curvature,Spatial Concept,"None, None)"
Hyperinflation,C1167782,Lung hyperinflation,Disease or Syndrome,"Abnormal permanent enlargement of the lung air spaces distal to terminal bronchiole not resulted from wall destruction, e.g. due to loss of opposite lung."
Layering,C0934502,anatomical layer,"Body Part, Organ, or Organ Component",A relatively thin sheetlike expanse or region lying over or under another.
bigger,C1704243,Greater,Quantitative Concept,"Notable in size, number, measure, magnitude, degree, or effectiveness."
bowel,C0021853,Intestines,"Body Part, Organ, or Organ Component","Část zažívacího traktu od ŽALUDKU po ANÁLNÍ KANÁL. Tento pojem zahrnuje jak STŘEVO TLUSTÉ tak i STŘEVO TENKÉ. Úsek trávicího ústrojí, v němž probíhá velká část trávení a vstřebávání živin a vody. Je dlouhé několik metrů a dělí se na dvě hlavní části, tenké střevo (i. tenue) a tlusté střevo (i. crassum). Základní stavba obou částí střeva je v zásadě podobná. Vnitřní částí je sliznice, pod níž je podslizniční vazivo (submukóza) a vrstva hladké svaloviny (tunica muscularis). Zevně střevo obaluje seróza, obdobného charakteru a původu jako pobřišnice. Sliznice tenkého střeva je složena v řasy a poseta střevními klky, které spolu s mikroklky jednotlivých enterocytů výrazně zvyšují plochu pro vstřebávání (dosahuje cca 100 m2). Obsahuje i četné žlázky (vč. buněk chromafinního charakteru) a lymfatickou tkáň. Submukóza je tvořena řídkým vazivem (umožňujícím sliznici skládání do řas), obsahuje Meissnerovu nervovou pleteň (plexus submucosus). Svalovina má silnější vnitřní vrstvu cirkulární a zevní vrstvu longitudinální. Mezi nimi je nervová pleteň (Auerbachův plexus myentericus). (cit. Velký lékařský slovník online, 2012 http://lekarske.slovniky.cz/ )"
pigtail,C0879203,Pigtail Catheters,Medical Device,"None, None)"
continued,C0549178,Continuous,Idea or Concept,Remain in force or carry on without letup; keep or maintain in unaltered condition; exist in time or space without stop or interruption.
ports,C1608324,Vascular Access Ports,Medical Device,Injection ports that are placed on the Luer end of the catheter or IV tubing and used as heparin locks by keeping heparin flush solution in the catheter.
costal,C0035561,Bone structure of rib,"Body Part, Organ, or Organ Component","A set of twelve curved bones which connect to the vertebral column posteriorly, and terminate anteriorly as costal cartilage. Together, they form a protective cage around the internal thoracic organs."
Pigtail,C0879203,Pigtail Catheters,Medical Device,"None, None)"
Hila,C0456973,Hilar lymphadenopathy,Disease or Syndrome,"Hilar lymphadenopathy is swelling or enlargement of lymph nodes localised in hila, wedge-shaped anatomical structures containing pulmonary vessels, major bronchi, nerves and lymph nodes. Hilar lymph nodes are not visible on chest X-ray if they are not enlarged. Hilar lymph node enlargement can be caused by benign and malignant conditions and can be symmetrical (bilateral) or asymmetrical (unilateral). [https://orcid.org/0000-0002-4095-8489]"
ETT,C4049753,Endotracheal tube diameter:Len:Pt:Intubation tube:Qn,Clinical Attribute,"None, None)"
Distal,C0205108,Distal (qualifier value),Spatial Concept,Localized away from the central point of the body. [https://orcid.org/0000-0002-0736-9199]
hyperinflation,C1167782,Lung hyperinflation,Disease or Syndrome,"Abnormal permanent enlargement of the lung air spaces distal to terminal bronchiole not resulted from wall destruction, e.g. due to loss of opposite lung."
Mild - to - moderate,C1299392,Mild to moderate,Qualitative Concept,"None, None)"
mild - to - moderate,C1299392,Mild to moderate,Qualitative Concept,"None, None)"
no change,C0442739,No status change,Finding,"<p>**Description:**There was (or is to be) no change to the item. This is primarily used when this element has not changed, but other attributes in the instance have changed.</p>"
cardiomyopathy,C0878544,Cardiomyopathies,Disease or Syndrome,"condition in which there is a deviation from or interruption of the normal structure or function of the myocardium, the middle and thickest layer of the heart wall, composed of heart muscle."
glenohumeral,C1269056,Entire glenohumeral joint,Body Space or Junction,"None, None)"
Obscuration,C4727091,Obscure,Activity,Make less clear or visible.
Operation,C0543467,Operative Surgical Procedures,Therapeutic or Preventive Procedure,"Operations carried out for the correction of deformities and defects, repair of injuries, and diagnosis and cure of certain diseases. (Taber, 18th ed.)."
angles,C0205143,Angular,Spatial Concept,The inclination of one line to another or the plane of one object to another.
No change,C0442739,No status change,Finding,"<p>**Description:**There was (or is to be) no change to the item. This is primarily used when this element has not changed, but other attributes in the instance have changed.</p>"
rounded,C0332490,Round shape,Spatial Concept,The shape of a circle.
Opacities,C1265876,Abnormally opaque structure (morphologic abnormality),Pathologic Function,"None, None)"
