Entity,Label
contents,ANAT-DP
to the right,OBS-DP
obliquity of the patient,OBS-DP
true,OBS-DA
mediastinal,ANAT-DP
shift,OBS-DA
several,OBS-DP
left,ANAT-DP
rib,ANAT-DP
fractures,OBS-DP
pneumothorax,OBS-DA
pneumomediastinum,OBS-DA
Poor definition,OBS-DP
left,ANAT-DP
hemidiaphragm,ANAT-DP
basilar,ANAT-DP
atelectasis,OBS-DP
fractures,OBS-DP
distal,ANAT-DP
clavicle,ANAT-DP
scapula,ANAT-DP
not as well seen on this study,OBS-DP
left,ANAT-DP
chest,OBS-DP
tube,OBS-DP
in place,OBS-DP
ET,OBS-DP
tube,OBS-DP
tip,OBS-DP
4 cm above,ANAT-DP
carina,ANAT-DP
Heart,ANAT-DP
size,ANAT-DP
mediastinum,ANAT-DP
stable,OBS-DP
slight,OBS-DP
interval,OBS-DP
increase,OBS-DP
lucency,OBS-DP
left,ANAT-DP
apex,ANAT-DP
residual,OBS-DP
pneumothorax,OBS-DP
Subcutaneous,ANAT-DP
air,OBS-DP
left,ANAT-DP
chest,ANAT-DP
wall,ANAT-DP
pleural,ANAT-DP
effusion,OBS-DA
Minimal,OBS-DP
left,ANAT-DP
basal,ANAT-DP
atelectasis,OBS-DP
Apical,ANAT-DP
effusion,OBS-DP
left,ANAT-DP
Extensive,OBS-DP
subcutaneous,ANAT-DP
emphysema,OBS-DP
within,ANAT-DP
chest,ANAT-DP
wall,ANAT-DP
neck,ANAT-DP
left,ANAT-DP
chest,ANAT-DP
tube,OBS-DP
in place,OBS-DP
small,OBS-DP
left,ANAT-DP
medial,ANAT-DP
pneumothorax,OBS-DP
tension,OBS-DA
small,OBS-U
right,ANAT-DP
apical,ANAT-DP
pneumothorax,OBS-U
cardiomediastinal,ANAT-DP
silhouette,ANAT-DP
hilar,ANAT-DP
contours,ANAT-DP
stable,OBS-DP
increased,OBS-DP
opacity,OBS-DP
left,ANAT-DP
lower,ANAT-DP
lobe,ANAT-DP
Multiple,OBS-DP
left sided,ANAT-DP
rib,ANAT-DP
fractures,OBS-DP
small,OBS-DP
medial,ANAT-DP
left,ANAT-DP
pneumothorax,OBS-DP
left,ANAT-DP
lower,ANAT-DP
lobe,ANAT-DP
pneumonia,OBS-U
pulmonary,ANAT-DP
hemorrhage,OBS-U
Extensive,OBS-DP
subcutaneous,ANAT-DP
emphysema,OBS-DP
chest,ANAT-DP
neck,ANAT-DP
multiple,OBS-DP
left - sided,ANAT-DP
rib,ANAT-DP
fractures,OBS-DP
Extensive,OBS-DP
subcutaneous,ANAT-DP
emphysema,ANAT-DP
chest,ANAT-DP
wall,ANAT-DP
neck,ANAT-DP
left,ANAT-DP
chest,ANAT-DP
tube,OBS-DP
tip,OBS-DP
apex,ANAT-DP
pneumothorax,OBS-DA
Pneumomediastinum,OBS-DP
pneumopericardium,OBS-DP
left,ANAT-DP
basilar,ANAT-DP
opacity,OBS-DP
unchanged,OBS-DP
severely,OBS-DP
fractured,OBS-DP
ribs,ANAT-DP
cardiomediastinal,ANAT-DP
silhouette,ANAT-DP
hilar,ANAT-DP
contours,ANAT-DP
stable,OBS-DP
pneumothorax,OBS-DA
Pneumomediastinum,OBS-DP
pneumopericardium,OBS-DP
left,ANAT-DP
lower,ANAT-DP
lobe,ANAT-DP
opacity,OBS-DP
pulmonary,ANAT-DP
hemorrahge,OBS-DP
left,ANAT-DP
chest,ANAT-DP
tube,OBS-DP
in place,OBS-DP
inferior,ANAT-DP
pneumothorax,OBS-DP
left,ANAT-DP
pneumopericardium,OBS-DP
pneumopericardium,OBS-DP
unchanged,OBS-DP
left,ANAT-DP
lower,ANAT-DP
lobe,ANAT-DP
opacity,OBS-DP
pleural,ANAT-DP
effusion,OBS-DA
Left,ANAT-DP
chest,ANAT-DP
tube,OBS-DP
in place,OBS-DP
left,ANAT-DP
inferior,ANAT-DP
pneumothorax,OBS-DP
left,ANAT-DP
lower,ANAT-DP
lobe,ANAT-DP
opacity,OBS-DP
infectious,OBS-U
hemorrhage,OBS-U
Extensive,OBS-DP
subcutaneous,ANAT-DP
emphysema,OBS-DP
chest,ANAT-DP
wall,ANAT-DP
neck,ANAT-DP
left,ANAT-DP
chest,ANAT-DP
tube,OBS-DP
tip,OBS-DP
medial,ANAT-DP
mid,ANAT-DP
lung,ANAT-DP
field,ANAT-DP
small,OBS-DP
left,ANAT-DP
pneumothorax,OBS-DP
assessment,OBS-DP
limited,OBS-DP
overlying,OBS-DP
extensive,OBS-DP
subcutaneous,ANAT-DP
emphysema,OBS-DP
Heart,ANAT-DP
size,ANAT-DP
normal,OBS-DP
rightward,OBS-DA
shift,OBS-DA
mediastinum,ANAT-DP
Focal,OBS-DP
opacity,OBS-DP
left,ANAT-DP
lung,ANAT-DP
base,ANAT-DP
infection,OBS-U
aspiration,OBS-U
Multiple,OBS-DP
left - sided,ANAT-DP
rib,ANAT-DP
fractures,OBS-DP
Extensive,OBS-DP
subcutaneous,ANAT-DP
emphysema,OBS-DP
pneumomediastinum,OBS-DP
small,OBS-DP
left,ANAT-DP
pneumothorax,OBS-DP
Left,ANAT-DP
basilar,ANAT-DP
opacity,OBS-DP
infection,OBS-U
aspiration,OBS-U
Left,ANAT-DP
pleural,ANAT-DP
drain,OBS-DP
slightly,OBS-DP
higher,OBS-DP
position,OBS-DP
lung,ANAT-DP
volume,ANAT-DP
low,OBS-DP
right,ANAT-DP
lung,ANAT-DP
base,ANAT-DP
opacification,OBS-DP
slightly,OBS-DP
improved,OBS-DP
left,ANAT-DP
lung,ANAT-DP
opacified,OBS-DP
base,ANAT-DP
atelectasis,OBS-U
pneumonia,OBS-U
Severe,OBS-DP
subcutaneous,ANAT-DP
emphysema,OBS-DP
stable,OBS-DP
Pneumomediastinum,OBS-DP
slightly,OBS-DP
increased,OBS-DP
alongside,OBS-DP
left,ANAT-DP
upper,ANAT-DP
lobe,OBS-DA
minimal,OBS-U
increase,OBS-U
pneumothorax,OBS-U
Heart,ANAT-DP
size,ANAT-DP
top,OBS-DP
normal,OBS-DP
Aorta,ANAT-DP
mildly,OBS-DP
elongated,OBS-DP
calcification,OBS-DP
aortic,ANAT-DP
arch,ANAT-DP
aortosclerosis,OBS-DP
Stable,OBS-DP
subcutaneous,ANAT-DP
emphysema,OBS-DP
minimal,OBS-DP
increse,OBS-DP
pneumomediastinum,OBS-DP
bibasilar,ANAT-DP
opacities,OBS-DP
prominent,OBS-DP
left,ANAT-DP
base,ANAT-DP
Massive,OBS-DP
bilateral,ANAT-DP
air,OBS-DP
collections,OBS-DP
soft tissues,ANAT-DP
left,ANAT-DP
chest,ANAT-DP
tube,OBS-DP
unchanged,OBS-DP
position,OBS-DP
parenchymal,ANAT-DP
left,ANAT-DP
base,ANAT-DP
opacity,OBS-DP
pneumonia,OBS-U
parenchymal,ANAT-DP
bleeding,OBS-U
pleural,ANAT-DP
pericardial,ANAT-DP
mediastinal,ANAT-DP
air,OBS-DA
very,OBS-DP
sharp,OBS-DP
right,ANAT-DP
heart,ANAT-DP
border,ANAT-DP
pneumopericardium,OBS-U
Left,ANAT-DP
pleural,ANAT-DP
drain,OBS-DP
left,ANAT-DP
apex,ANAT-DP
tube,OBS-DP
major,ANAT-DP
fissure,ANAT-DP
Lung,ANAT-DP
volume,ANAT-DP
normal,ANAT-DP
left,ANAT-DP
base,ANAT-DP
opacities,OBS-DP
new,OBS-DP
right,ANAT-DP
base,ANAT-DP
opacity,OBS-DP
bibasilar,ANAT-DP
atelectasis,OBS-U
prominent,OBS-DP
left,ANAT-DP
base,ANAT-DP
severe,OBS-DP
subcutaneus,ANAT-DP
emphysema,OBS-DP
stable,OBS-DP
pneumomediastinum,OBS-DP
pleural,ANAT-DP
effusion,OBS-DA
Cardiomediastinal,ANAT-DP
silhouette,ANAT-DP
normal,OBS-DP
left,ANAT-DP
pleural,ANAT-DP
drain,OBS-DP
deeper,OBS-DP
major,ANAT-DP
fissure,ANAT-DP
New,OBS-DP
right,ANAT-DP
base,ANAT-DP
opacities,OBS-DP
increased,OBS-DP
left,ANAT-DP
base,ANAT-DP
opacities,OBS-DP
bibasilar,ANAT-DP
atelectasis,OBS-DP
severe,OBS-DP
subcutaneous,ANAT-DP
emphysema,OBS-DP
pneumo mediastinum,OBS-DP
left - sided,ANAT-DP
chest,ANAT-DP
tube,OBS-DA
Small,OBS-DP
left,ANAT-DP
apical,ANAT-DP
pneumothorax,OBS-DP
new,OBS-DP
Extensive,OBS-DP
subcutaneous,ANAT-DP
emphysema,OBS-DP
unchanged,OBS-DP
Small,OBS-DP
pneumomediastinum,OBS-DP
stable,OBS-DP
cardiomediastinal,ANAT-DP
silhouette,ANAT-DP
normal,OBS-DP
Left,ANAT-DP
lower,ANAT-DP
lobe,ANAT-DP
opacity,OBS-DP
pneumonia,OBS-U
Small,OBS-DP
left,ANAT-DP
apical,ANAT-DP
pneumothorax,OBS-DP
chest,ANAT-DP
tube,OBS-DA
Stable,OBS-DP
small,OBS-DP
pneumothorax,OBS-DP
minimal,OBS-DP
pneumomediastinum,OBS-DP
Left,ANAT-DP
chest,ANAT-DP
tube,OBS-DP
in place,OBS-DP
small,OBS-DP
left,ANAT-DP
pneumothorax,OBS-DP
pneumomediastinum,OBS-DP
pneumopericardium,OBS-DP
left,ANAT-DP
lower,ANAT-DP
lung,ANAT-DP
opacity,OBS-DP
improved,OBS-DP
cardiomediastinal,ANAT-DP
silhouette,ANAT-DP
hilar,ANAT-DP
contours,ANAT-DP
stable,OBS-DP
small,OBS-DP
left,ANAT-DP
pneumothorax,OBS-DP
pneumopericardium,OBS-DP
pneumomediastinum,OBS-DP
left,ANAT-DP
lower,ANAT-DP
lung,ANAT-DP
opacity,OBS-DP
infectious,OBS-U
pulmonary,ANAT-DP
hemorrhage,OBS-U
large,OBS-DP
amount,OBS-DP
subcutaneous,ANAT-DP
emphysema,OBS-DP
left,ANAT-DP
greater,OBS-DP
right,ANAT-DP
difficult to assess,OBS-DP
small,OBS-U
pneumothorax,OBS-U
subcutaneous,ANAT-DP
emphysema,OBS-DP
pneumothorax,OBS-U
left,ANAT-DP
apical,ANAT-DP
lateral,ANAT-DP
lungs,ANAT-DP
unchanged,OBS-DP
small,OBS-DP
apical,ANAT-DP
pneumothorax,OBS-DP
left,ANAT-DP
little,OBS-DP
overall,OBS-DP
change,OBS-DP
heart,ANAT-DP
lungs,ANAT-DP
extensive,OBS-DP
subcutaneous,ANAT-DP
emphysema,OBS-DP
chest,ANAT-DP
neck,ANAT-DP
left,ANAT-DP
chest,ANAT-DP
tube,OBS-DP
tiny,OBS-DP
1-2 mm,OBS-DP
left,ANAT-DP
pneumothorax,OBS-DP
Pneumomediastinum,OBS-DP
pneumopericardium,OBS-DP
unchanged,OBS-DP
left,ANAT-DP
basilar,ANAT-DP
opacity,OBS-DP
pleural,ANAT-DP
effusion,OBS-DA
Left,ANAT-DP
chest,ANAT-DP
tube,OBS-DP
small,OBS-DP
left,ANAT-DP
pneumothorax,OBS-DP
tension,OBS-DA
pneumomediastinum,OBS-DP
pneumopericardium,OBS-DP
left,ANAT-DP
basilar,ANAT-DP
opacity,OBS-DP
infection,OBS-U
parenchymal,ANAT-DP
bleeding,OBS-U
cardiomediastinal,ANAT-DP
silhouette,ANAT-DP
pulmonary,ANAT-DP
vasculature,ANAT-DP
normal,OBS-DP
pleural,ANAT-DP
effusion,OBS-DA
pneumothorax,OBS-DA
consolidation,OBS-DA
Unremarkable,OBS-DP
examination,OBS-DP
chest,ANAT-DP
lungs,ANAT-DP
clear,OBS-DP
focal,OBS-DA
consolidation,OBS-DA
pleural,ANAT-DP
effusion,OBS-DA
pneumothorax,OBS-DA
pulmonary,ANAT-DP
edema,OBS-DA
heart,ANAT-DP
normal,OBS-DP
size,ANAT-DP
mediastinal,ANAT-DP
contours,ANAT-DP
normal,OBS-DP
acute,OBS-DA
cardiopulmonary,ANAT-DP
process,OBS-DA
Lungs,ANAT-DP
clear,OBS-DP
consolidation,OBS-DA
pleural,ANAT-DP
effusion,OBS-DA
pneumothorax,OBS-DA
Heart,ANAT-DP
mildly,OBS-U
enlarged,OBS-U
low,OBS-U
lung,ANAT-DP
volumes,ANAT-DP
acute,OBS-DA
osseous,ANAT-DP
abnormalities,OBS-DA
surgical,OBS-DP
clip,OBS-DP
right,ANAT-DP
upper,ANAT-DP
quadrant,ANAT-DP
Clear,OBS-DP
lungs,ANAT-DP
Heart,ANAT-DP
size,ANAT-DP
top,OBS-DP
normal,OBS-DP
mild,OBS-DP
left,ANAT-DP
apical,ANAT-DP
pleural,ANAT-DP
thickening,OBS-DP
focal,OBS-DA
consolidation,OBS-DA
pleural,ANAT-DP
effusion,OBS-DA
pneumothorax,OBS-DA
nipple,OBS-DP
shadows,OBS-DP
cardiac,ANAT-DP
silhouette,ANAT-DP
enlarged,OBS-DA
mediastinal,ANAT-DP
hilar,ANAT-DP
contours,ANAT-DP
unremarkable,OBS-DP
focal,OBS-DA
consolidation,OBS-DA
Heart,ANAT-DP
size,ANAT-DP
normal,OBS-DP
mediastinal,ANAT-DP
hilar,ANAT-DP
contours,ANAT-DP
normal,OBS-DP
pulmonary,ANAT-DP
vasculature,ANAT-DP
normal,OBS-DP
Lungs,ANAT-DP
clear,OBS-DP
pleural,ANAT-DP
effusion,OBS-DA
pneumothorax,OBS-DA
acute,OBS-DA
osseous,ANAT-DP
abnormalities,OBS-DA
active,OBS-DA
tuberculous,OBS-DA
low,OBS-DP
lung,ANAT-DP
volumes,ANAT-DP
Heart,ANAT-DP
mildly,OBS-DP
enlarged,OBS-DP
cardiomediastinal,ANAT-DP
silhouette,ANAT-DP
otherwise,ANAT-DP
unremarkable,OBS-DP
Lungs,ANAT-DP
mild,OBS-DP
basilar,ANAT-DP
atelectasis,OBS-DP
focal,OBS-DA
consolidation,OBS-DA
pleural,ANAT-DP
effusion,OBS-DA
pneumothorax,OBS-DA
pneumonia,OBS-DA
cardiomediastinal,ANAT-DP
hilar,ANAT-DP
contours,ANAT-DP
normal,OBS-DP
lungs,ANAT-DP
clear,OBS-DP
pleural,ANAT-DP
effusion,OBS-DA
pneumothorax,OBS-DA
acute,OBS-DA
cardiopulmonary,ANAT-DP
process,OBS-DA
A,OBS-DP
rod,OBS-DP
overlies,OBS-DP
T 5 through T 9,ANAT-DP
rib,ANAT-DP
fractures,OBS-DP
small,OBS-DP
pneumothorax,OBS-DP
Small,OBS-DP
area,OBS-DP
subcutaneous,ANAT-DP
air,OBS-DP
right,ANAT-DP
lateral,ANAT-DP
soft tissues,ANAT-DP
mediastinal,ANAT-DP
widening,OBS-DA
focal,OBS-DA
lung,ANAT-DP
parenchymal,ANAT-DP
opacities,OBS-DA
cardiac,ANAT-DP
mediastinal,ANAT-DP
hilar,ANAT-DP
contours,ANAT-DP
normal,OBS-DP
mediastinal,ANAT-DP
widening,OBS-DA
lungs,ANAT-DP
clear,OBS-DP
pleural,ANAT-DP
effusions,OBS-DA
A,OBS-DP
rod,OBS-DP
overlies,OBS-DP
right,ANAT-DP
lateral,ANAT-DP
ribs,ANAT-DP
rib,ANAT-DP
fractures,OBS-DA
of T 5 through T 9,ANAT-DP
small,OBS-DP
amount,OBS-DP
subcutaneous,ANAT-DP
air,OBS-DP
right,ANAT-DP
lateral,ANAT-DP
soft tissues,ANAT-DP
small,OBS-DP
right,ANAT-DP
pneumothorax,OBS-U
small,OBS-U
pneumothorax,OBS-DA
overlying,OBS-U
rod,OBS-U
focal,OBS-DA
parenchymal,ANAT-DP
opacities,OBS-DA
A,OBS-DP
rod,OBS-DP
overlies,OBS-DP
T 5 through T 9,ANAT-DP
rib,ANAT-DP
fractures,OBS-DP
small,OBS-DP
pneumothorax,OBS-DP
Small,OBS-DP
subcutaneous,ANAT-DP
air,OBS-DP
right,ANAT-DP
lateral,ANAT-DP
soft tissues,ANAT-DP
mediastinal,ANAT-DP
widening,OBS-DA
focal,OBS-DA
lung,ANAT-DP
parenchymal,ANAT-DP
opacities,OBS-DA
intrafissural,ANAT-DP
right,ANAT-DP
basal,ANAT-DP
pneumothorax,OBS-DP
diameter,OBS-DP
1.5 cm,OBS-DP
tension,OBS-DA
non - displaced,OBS-DA
rib,ANAT-DP
fractures,OBS-DA
Minimal,OBS-DP
atelectasis,OBS-DP
retrocardiac,ANAT-DP
lung,ANAT-DP
Borderline,OBS-DP
size,ANAT-DP
cardiac,ANAT-DP
silhouette,ANAT-DP
pleural,ANAT-DP
effusions,OBS-DA
cardiac,ANAT-DP
silhouette,ANAT-DP
within,OBS-DP
upper,OBS-DP
limits,OBS-DP
normal,OBS-DP
size,ANAT-DP
vascular,ANAT-DP
congestion,OBS-DA
pleural,ANAT-DP
effusion,OBS-DA
acute,OBS-DA
focal,OBS-DA
mild,OBS-DP
pectus,ANAT-DP
deformity,OBS-DP
lungs,ANAT-DP
well,OBS-DP
expanded,OBS-DP
focal,OBS-DA
consolidation,OBS-DA
effusion,OBS-DA
pneumothorax,OBS-DA
CHF,OBS-U
heart,ANAT-DP
size,ANAT-DP
slightly,OBS-DP
prominent,OBS-DP
aforementioned,OBS-U
pectus,ANAT-DP
excavatum,ANAT-DP
deformity,OBS-U
osseous,ANAT-DP
structures,ANAT-DP
intact,OBS-DP
Clips,OBS-DP
right,ANAT-DP
upper,ANAT-DP
quadrant,ANAT-DP
Pectus,ANAT-DP
excavatum,ANAT-DP
deformity,OBS-DP
top,OBS-U
normal,OBS-U
heart,ANAT-DP
size,ANAT-DP
Endotracheal,OBS-DA
tube,OBS-DA
feeding,OBS-DA
tube,OBS-DA
Swan - Ganz,OBS-DP
catheter,OBS-DP
mediastinal,OBS-DP
drains,OBS-DP
bilateral,ANAT-DP
chest,OBS-DP
tubes,OBS-DP
Heart,ANAT-DP
size,ANAT-DP
prominent,OBS-DP
unchanged,OBS-DP
improvement,OBS-DP
pulmonary,ANAT-DP
edema,OBS-DP
some,OBS-DP
atelectasis,OBS-DP
left,ANAT-DP
lung,ANAT-DP
base,ANAT-DP
pleural,ANAT-DP
effusion,OBS-DA
pneumothoraces,OBS-DA
Small,OBS-DP
left,ANAT-DP
apical,ANAT-DP
pneumothorax,OBS-DP
new,OBS-U
newly,OBS-U
apparent,OBS-U
Small,OBS-DP
right,ANAT-DP
apical,OBS-DA
pneumothorax,OBS-DP
stable,OBS-DP
Stable,OBS-DP
mild,OBS-DP
postoperative,OBS-DP
cardiomegaly,OBS-DP
Mild,OBS-DP
moderate,OBS-DP
left,ANAT-DP
basal,ANAT-DP
atelectasis,OBS-DP
pleural,ANAT-DP
effusion,OBS-DA
pulmonary,ANAT-DP
edema,OBS-DA
Right,ANAT-DP
jugular,ANAT-DP
line,OBS-DP
right,ANAT-DP
atrium,ANAT-DP
Left sided,ANAT-DP
chest,OBS-DP
tube,OBS-DA
mediastinal,ANAT-DP
drain,OBS-DA
Swan,OBS-DA
catheter,OBS-DA
Right - sided,ANAT-DP
chest,OBS-DP
tube,OBS-DP
right,ANAT-DP
IJ,ANAT-DP
sheath,OBS-DP
unchanged,OBS-DP
positions,OBS-DP
minimal,OBS-DP
right,ANAT-DP
apical,ANAT-DP
pneumothorax,OBS-DP
mediastinal,ANAT-DP
shift,OBS-DA
Minimal,OBS-DP
right,ANAT-DP
apical,ANAT-DP
pneumothorax,OBS-DP
mediastinal,ANAT-DP
shift,OBS-DA
left - sided,ANAT-DP
pleural,ANAT-DP
effusion,OBS-DP
consolidation,OBS-DP
relatively,OBS-DP
stable,OBS-DP
pneumothoraces,OBS-DA
support,OBS-DP
lines,OBS-DP
tubes,OBS-DP
unchanged,OBS-DP
in position,OBS-DP
mild,OBS-U
pulmonary,ANAT-DP
edema,OBS-U
Biapical,ANAT-DP
pneumothoraces,OBS-DP
Bibasilar,ANAT-DP
atelectasis,OBS-DP
lungs,ANAT-DP
clear,OBS-DP
left,ANAT-DP
hemidiaphragm,ANAT-DP
elevation,OBS-DP
increase,OBS-DP
distance,OBS-DP
apex,ANAT-DP
left,ANAT-DP
hemidiaphragm,ANAT-DP
stomach,ANAT-DP
bubble,OBS-DP
subpulmonic,ANAT-DP
effusion,OBS-DP
post - operative,OBS-DP
cardiomediastinal,ANAT-DP
contour,ANAT-DP
stable,OBS-DP
Right,ANAT-DP
IJ,ANAT-DP
line,OBS-DP
right,ANAT-DP
atrium,ANAT-DP
left,ANAT-DP
hemidiaphragm,ANAT-DP
elevation,OBS-DP
subpulmonic,ANAT-DP
effusion,OBS-U
pneumothoraces,OBS-DP
new,OBS-DP
left,ANAT-DP
apical,ANAT-DP
chest,ANAT-DP
tube,OBS-DP
left - sided,ANAT-DP
pleural,ANAT-DP
effusion,OBS-DP
consolidation,OBS-DP
mid,ANAT-DP
lower,ANAT-DP
lung,ANAT-DP
increased,OBS-DP
pneumothoraces,OBS-DA
support,OBS-DP
lines,OBS-DP
tubes,OBS-DP
stable,OBS-DP
right,ANAT-DP
lung,ANAT-DP
grossly,OBS-DP
clear,OBS-DP
enlargement,OBS-DP
left - sided,ANAT-DP
pleural,ANAT-DP
effusion,OBS-DP
support,OBS-DP
lines,OBS-DP
tubes,OBS-DP
unchanged,OBS-DP
position,OBS-DP
pneumothoraces,OBS-DA
Lines,OBS-DP
tubes,OBS-DP
unchanged,OBS-DP
position,OBS-DP
decrease,OBS-DP
left - sided,ANAT-DP
pleural,ANAT-DP
effusion,OBS-DP
mild,OBS-DP
pulmonary,ANAT-DP
interstitial,ANAT-DP
edema,OBS-DP
atelectasis,OBS-DP
left,ANAT-DP
lung,ANAT-DP
base,ANAT-DP
pneumothoraces,OBS-DA
tip,OBS-DP
right internal jugular vein,OBS-DP
catheter,OBS-DP
over,OBS-DP
right,ANAT-DP
atrium,ANAT-DP
Unchanged,OBS-DP
postoperative,OBS-DP
cardiac,ANAT-DP
silhouette,ANAT-DP
sternal,ANAT-DP
wires,OBS-DP
constant,OBS-DP
alignment,OBS-DP
Minimal,OBS-DP
retrocardiac,ANAT-DP
atelectasis,OBS-DP
larger,OBS-DA
pleural,ANAT-DP
effusions,OBS-DA
pneumothorax,OBS-DA
pulmonary,ANAT-DP
edema,OBS-DA
Left,ANAT-DP
lower,ANAT-DP
lobe,ANAT-DP
atelectasis,OBS-DP
pleural,ANAT-DP
effusion,OBS-DP
stable,OBS-DP
small,OBS-DP
amount,OBS-DP
pleural,ANAT-DP
effusion,OBS-DP
right,ANAT-DP
Post - operative,OBS-DP
cardiomediastinal,ANAT-DP
structure,ANAT-DP
stable,OBS-DP
Unchanged,OBS-DP
left,ANAT-DP
lower,ANAT-DP
lobe,ANAT-DP
atelectasis,OBS-DP
pleural,ANAT-DP
effusion,OBS-DP
Cardiac,ANAT-DP
silhouette,ANAT-DP
size,ANAT-DP
mildly,OBS-DP
enlarged,OBS-DP
left,ANAT-DP
ventricular,ANAT-DP
predominance,OBS-DP
aorta,ANAT-DP
markedly,OBS-DP
tortuous,OBS-DP
mediastinal,ANAT-DP
hilar,ANAT-DP
contours,ANAT-DP
unchanged,OBS-DP
pulmonary,ANAT-DP
vasculature,ANAT-DP
normal,OBS-DP
Calcified,OBS-DP
nodules,OBS-DP
left,ANAT-DP
lower,ANAT-DP
lobe,ANAT-DP
unchanged,OBS-DP
granulomas,OBS-U
Streaky,OBS-DP
atelectasis,OBS-U
left,ANAT-DP
lung,ANAT-DP
base,ANAT-DP
focal,OBS-DA
consolidation,OBS-DA
pleural,ANAT-DP
effusion,OBS-DA
pneumothorax,OBS-DA
osseous,ANAT-DP
structures,ANAT-DP
diffusely,OBS-DP
demineralized,OBS-DP
mild,OBS-DP
compression,OBS-DP
deformity,OBS-DP
vertebral,ANAT-DP
bodies,ANAT-DP
thoracolumbar,ANAT-DP
junction,ANAT-DP
Soft tissue,ANAT-DP
calcification,OBS-DP
adjacent,ANAT-DP
left,ANAT-DP
humeral,ANAT-DP
head,ANAT-DP
calcific,OBS-U
tendinopathy,OBS-U
Deformity,OBS-DP
right,ANAT-DP
eighth,ANAT-DP
lateral,ANAT-DP
rib,ANAT-DP
new,OBS-DP
chronic,OBS-U
rib,ANAT-DP
fracture,OBS-U
acute,OBS-DA
cardiopulmonary,ANAT-DP
abnormality,OBS-DA
indistinctness,OBS-DP
pulmonary,ANAT-DP
vasculature,ANAT-DP
mild,OBS-U
congestion,OBS-U
chronic,OBS-U
underlying,OBS-U
parenchymal,ANAT-DP
changes,OBS-U
superimposed,OBS-DA
confluent,OBS-DA
consolidation,OBS-DA
Blunting,OBS-DP
left,ANAT-DP
costophrenic,ANAT-DP
angle,ANAT-DP
effusion,OBS-U
Cardiomediastinal,ANAT-DP
silhouette,ANAT-DP
normal,OBS-DP
limits,OBS-DP
osseous,ANAT-DP
abnormality,OBS-DA
small,OBS-U
left,ANAT-DP
pleural,ANAT-DP
effusion,OBS-U
Heart,ANAT-DP
size,ANAT-DP
top,OBS-DP
normal,OBS-DP
Mediastinum,ANAT-DP
stable,OBS-DP
Right,ANAT-DP
pleural,ANAT-DP
effusion,OBS-DP
unchanged,OBS-DP
interval,OBS-DP
progression,OBS-DP
interstitial,ANAT-DP
pulmonary,ANAT-DP
edema,OBS-DP
Minimal,OBS-U
left,ANAT-DP
pleural,ANAT-DP
effusion,OBS-U
pulmonary,ANAT-DP
edema,OBS-DP
diffuse,OBS-U
infection,OBS-U
Interval,OBS-DP
increase,OBS-DP
interstitial,OBS-DP
markings,OBS-DP
worsening,OBS-DP
pulmonary,ANAT-DP
edema,OBS-DP
diffuse,OBS-DP
atypical,OBS-DP
infection,OBS-DP
indistinctness,OBS-DP
pulmonary,ANAT-DP
vessels,ANAT-DP
elevated,OBS-DP
pulmonary,ANAT-DP
venous,ANAT-DP
pressure,OBS-DP
opacification,OBS-U
right,ANAT-DP
apical,ANAT-DP
region,ANAT-DP
overlying,OBS-DP
clavicle,ANAT-DP
posterior,ANAT-DP
rib,ANAT-DP
focal,OBS-DA
consolidation,OBS-DA
lung,ANAT-DP
volumes,ANAT-DP
decreased,OBS-DP
size,ANAT-DP
cardiac,ANAT-DP
silhouette,ANAT-DP
unchanged,OBS-DP
borderline,OBS-DP
Increased,OBS-DP
reticular,OBS-DP
markings,OBS-DP
blunting,OBS-DP
right,ANAT-DP
costophrenic,ANAT-DP
sinus,ANAT-DP
small,OBS-DP
right,ANAT-DP
pleural,ANAT-DP
effusion,OBS-DP
mild,OBS-DP
interstitial,ANAT-DP
fluid,OBS-DP
overload,OBS-DP
Mild,OBS-DP
cardiomegaly,OBS-DP
stable,OBS-DP
Moderate,OBS-DP
right,ANAT-DP
small,OBS-DP
left,ANAT-DP
pleural,ANAT-DP
effusions,OBS-DP
grossly,OBS-DP
unchanged,OBS-DP
mild,OBS-DP
fluid,OBS-DP
overload,OBS-DP
unchanged,OBS-DP
minimal,OBS-DP
residual,OBS-DP
previous,OBS-DP
moderate - sized,OBS-DP
right,ANAT-DP
pleural,ANAT-DP
effusion,OBS-DP
cluster,OBS-DP
small,OBS-DP
nodules,OBS-DP
peribronchial,ANAT-DP
infiltration,OBS-DP
right,ANAT-DP
lung,ANAT-DP
apex,ANAT-DP
laterally,ANAT-DP
first,ANAT-DP
anterior,ANAT-DP
interspace,ANAT-DP
non - tuberculous,OBS-U
mycobacterial,OBS-U
infection,OBS-U
tuberculosis,OBS-U
Heart,ANAT-DP
size,ANAT-DP
normal,OBS-DP
granulomatous,OBS-DP
calcifications,OBS-DP
right,ANAT-DP
hilus,ANAT-DP
central,ANAT-DP
lymph node,OBS-DA
enlargement,OBS-DA
Heart,ANAT-DP
size,ANAT-DP
normal,OBS-DP
Study,OBS-DP
limited,OBS-DP
poor,OBS-DP
penetration,OBS-DP
pneumothorax,OBS-DA
minimal,OBS-DP
residual,OBS-DP
left,ANAT-DP
effusion,OBS-DP
residual,OBS-DP
atelectasis,OBS-DP
minimal,OBS-DP
