name,ui,normalized_name,semanticTypes,definition
layer,C0934502,anatomical layer,"Body Part, Organ, or Organ Component",A relatively thin sheetlike expanse or region lying over or under another.
dependently,,,,
peculiar,,,,
shape,C0332479,shape,Spatial Concept,The spatial arrangement of something as distinct from its substance.
pericardial,C0442031,Pericardial body location,Body Location or Region,Located around the heart or relating to or affecting the pericardium.
relatively,,,,
Aortic,C0003483,Aortic,"Body Part, Organ, or Organ Component","Srdečnice. Největší tepna organismu, která vystupuje přímo z levé srdeční komory. Probíhá hrudníkem a břišní dutinou (před páteří) až do bederní oblasti, kde se dělí (bifurkace) na dvě kyčelní tepny (aa. ilicae). Vystupuje z ní v různých částech řada větví, které zásobují okysličenou krví všechny orgány těla. A. ascendens - vzestupná a., počáteční úsek a. přecházející v aortální oblouk (arcus aortae). Navazuje a. descendens, která má část hrudní (a. thoracica) a břišní (a. abdominalis). (cit. Velký lékařský slovník online, 2017 http://lekarske.slovniky.cz)"
contour,C0876954,Contour form,Spatial Concept,The outline of a part; the surface configuration.
changed,,,,
hilus,,,,
not less distinct,,,,
interstitial,C0596790,interstitial,Body Location or Region,"Relating to or situated in the small, narrow spaces between tissues or parts of an organ."
overload,,,,
Nasogastric,C3282907,Nasogastric,Body Location or Region,No results
out of review,,,,
Multiple,C0439064,Numerous,Quantitative Concept,An indefinite large quantity that is considered to be greater than several.
right sided,C0444532,right sided,Spatial Concept,Pertaining to the physical area of an object that is located to the right of its center.
fracture,C0016658,fracture,Injury or Poisoning,A partial or complete breakage of the continuity of a bone. []
<<<<<<<< HEAD:nen/resource/simple/output.csv
multiple,,,,
posttraumatic,C5453015,posttraumatic,Temporal Concept,No results
deformities,,,,
Massive,C0522501,Massive,Qualitative Concept,No results
nearly,C3828842,nearly,Qualitative Concept,Not quite or just short of.
resolved,C3714811,resolved,Qualitative Concept,No results
Nonspecific,C0750540,Nonspecific,Idea or Concept,No results
thoracic,,,,
convex,C0521163,convex,Spatial Concept,No results
========
multiple,C0439064,Numerous,Quantitative Concept,An indefinite large quantity that is considered to be greater than several.
posttraumatic,C5453015,posttraumatic,No results,No results
deformities,C1527361,deformities qualifier,Qualitative Concept,None
Massive,C0522501,Massive,No results,No results
nearly,C3828842,nearly,Qualitative Concept,Not quite or just short of.
resolved,C3714811,resolved,No results,No results
Nonspecific,C0750540,Nonspecific,No results,No results
thoracic,C0817096,Chest,Body Location or Region,"Subdivision of the trunk, which is demarcated from the neck by the plane of the superior thoracic aperture and from the abdomen internally by the inferior surface of the diaphragm and externally by the costal margin; together with the abdomen, pelvis and perineum, it constitutes the trunk. Examples: There is only one thorax."
convex,C0521163,convex,No results,No results
>>>>>>>> origin/main:nen/resource/output.csv
old,C0580836,old,Temporal Concept,"Not new, of an earlier time."
ribs,C0035561,Bone structure of rib,"Body Part, Organ, or Organ Component","A set of twelve curved bones which connect to the vertebral column posteriorly, and terminate anteriorly as costal cartilage. Together, they form a protective cage around the internal thoracic organs."
second,C0457385,second,Temporal Concept,"A unit of time, one of the seven base units of the International System of Units (Systeme International d'Unites, SI). The second is the duration of 919 263 177 0 periods of the specified light radiation corresponding to the transition between the two hyperfine levels of the caesium 133 atom in its ground state at 0 K. According to the convention, 60 seconds constitute one minute; 3,600 seconds constitute one hour."
fifith,,,,
Slight,C2937276,Slight (qualifier value),Qualitative Concept,"Small or little in size, quantity, or degree."
posterior,C0205095,Dorsal,Spatial Concept,Pertaining to the back or upper surface of the body; opposite of ventral.
fourth,C0205438,fourth,Quantitative Concept,Following the third position in an ordering or series; coming next after the third and just before the fifth in position.
calcified,C0175895,Calcified (qualifier value),Qualitative Concept,having calcium accumulation in the body
Severe,C0205082,Severe (severity modifier),Finding,"Head injury, Bone marrow transplantation, Intensive care patients (APACHE>10)."
standard,C1442989,Standard (qualifier),Qualitative Concept,Regularly and widely used.
below,C0542339,Inferior,Spatial Concept,In anatomy indicating lower than a given reference point.
diaphragm,C0011980,Respiratory Diaphragm,"Body Part, Organ, or Organ Component",The musculofibrous partition that separates the THORACIC CAVITY from the ABDOMINAL CAVITY. Contraction of the diaphragm increases the volume of the thoracic cavity aiding INHALATION.
Interval,C1272706,Interval,Temporal Concept,"A time period, or other type of interval, during which something may be achieved, obtained or observed."
improved,C0184511,improved,Finding,Condition changed and/or recovered
aeration,C2215609,aeration,Therapeutic or Preventive Procedure,No results
resolution,C2699488,resolution,Conceptual Entity,"A means of finding a solution to a problem, or a means of finding agreement or harmony."
Right,C0205090,Right,Spatial Concept,Being or located on or directed toward the side of the body to the east when facing north.
<<<<<<<< HEAD:nen/resource/simple/output.csv
confluent,C0205200,confluent,Qualitative Concept,No results
margin,,,,
========
confluent,C0205200,confluent,No results,No results
margin,C0205284,Marginal,Spatial Concept,A boundary line or the area immediately inside the boundary.
>>>>>>>> origin/main:nen/resource/output.csv
chronic,C0205191,chronic,Temporal Concept,"Condition lasting for more than 3-6 months, or persisting beyond the course of an acute disease, or after tissue healing is complete."
thickening,C0205400,Thickened,Finding,An increase in the thickness of a structure.
S type,,,,
ventricular,C1522565,ventricular,Spatial Concept,Of or relating to a ventricle (of the heart or brain).
configuration,,,,
similar to prior,,,,
tortuosity,C0333076,tortuosity,Spatial Concept,No results
Elevation,C0702240,Elevation,Spatial Concept,The condition of being elevated.
basilar,C1184146,basilar,Spatial Concept,No results
linear,C0205132,linear,Spatial Concept,A mark that is long relative to its width; a length (straight or curved) without breadth or thickness; the trace of a moving point.
scarring,C2004491,Cicatrix,Pathologic Function,Tejido fibroso que sustituye el tejido normal durante el proceso de CICATRIZACIÓN de heridas.
elevation,C0702240,elevation,Spatial Concept,The condition of being elevated.
streaky,,,,
superimposed,,,,
<<<<<<<< HEAD:nen/resource/simple/output.csv
top,,,,
Air,C3536832,Air,Pharmacologic Substance,No results
========
top,C1704458,Top (position),Spatial Concept,"The uppermost part, side, or surface of something."
Air,C3536832,Air,No results,No results
>>>>>>>> origin/main:nen/resource/output.csv
wall,,,,
surgery,C0543467,Operative Surgical Procedures,Therapeutic or Preventive Procedure,"Operations carried out for the correction of deformities and defects, repair of injuries, and diagnosis and cure of certain diseases. (Taber, 18th ed.)."
skin,C1123023,skin,Body System,The outer covering of the body that protects it from the environment. It is composed of the DERMIS and the EPIDERMIS.
slight,C2937276,Slight (qualifier value),Qualitative Concept,"Small or little in size, quantity, or degree."
interval,C1272706,interval,Temporal Concept,"A time period, or other type of interval, during which something may be achieved, obtained or observed."
hyperinflated,C1167782,Lung hyperinflation,Disease or Syndrome,"Abnormal permanent enlargement of the lung air spaces distal to terminal bronchiole not resulted from wall destruction, e.g. due to loss of opposite lung."
greater,C1704243,greater,Quantitative Concept,"Notable in size, number, measure, magnitude, degree, or effectiveness."
Sternotomy,C0185792,Sternotomy (procedure),Therapeutic or Preventive Procedure,Making an incision in the STERNUM.
extensive,C0205231,extensive,Qualitative Concept,"Large in quantity, range, or spatial extent."
clips,C0175722,clips,Medical Device,"Devices designed for attachment or occlusion of anatomic structures (e.g., blood vessels, fallopian tubes) and small objects and accessories (e.g., towels, drapes, bandages) used in surgical procedures without intentionally piercing them (i.e., atraumatic); some clips are intended for use as permanent implants or for temporary occlusion of external (e.g., nose, umbilical cord) anatomic structures. Surgical temporary clips usually permit only a small jaw opening, have a normally closed resting state, and are frequently applied manually; dedicated implantable clips include a variety of atraumatic small metallic or plastic devices in different shapes and sizes that are typically delivered using clip appliers."
status,C0449438,status,Qualitative Concept,Designation of a concept's state. Normally is not populated unless the state is retired..
post,C0687676,post,Temporal Concept,Happening at a time subsequent to a reference time; later in time or order.
median,,,,
sternotomy,C0185792,Sternotomy (procedure),Therapeutic or Preventive Procedure,Making an incision in the STERNUM.
CABG,C0010055,Coronary Artery Bypass Surgery,Therapeutic or Preventive Procedure,"surgical procedure creating a bridge between the ascending aorta and one or more of the three major coronary arteries, distal to an obstructive lesion, using autologous tissue transplanted from the saphenous vein."
obstructive,C0549186,Obstructed,Functional Concept,None
Degenerative,C0011164,Abnormal degeneration,Pathologic Function,None
changes,C0392747,Changing,Functional Concept,The act of alteration or modification; changed or altered in form or character.
along,C0205154,Along edge (qualifier value),Spatial Concept,None
spine,C0037949,Vertebral column,"Body Part, Organ, or Organ Component","Páteř tvoří nosnou oporu a pohyblivý pilíř celého těla. Je součástí osového skeletu. Je složena z částí - segmentů (krčního C1-C7, hrudního Th1-Th12, bederního L1-L5, křížového S1-S5 a kostrčního Co1-Co4(Co5). Páteř tvoří jednotlivé kosti, obratle (vertebrae), které jsou navzájem spojeny pevnými, avšak pohyblivými spoji. (upraveno podle Wikiskripta 2018 http://www.wikiskripta.eu/)"
COPD,C0024117,Chronic Obstructive Airway Disease,Disease or Syndrome,"chronic, irreversible obstruction of air flow from the lungs."
blunting,,,,
trace,,,,
borderline,C0205189,borderline,Qualitative Concept,"Having a minor degree of severity that is considered to be on the boundary between the normal and the abnormal ranges. For quantitative traits, a deviation of that is less than two standard deviations from the appropriate population mean. [https://orcid.org/0000-0002-0736-9199]"
knob,C1708612,Knob Device,Manufactured Object,"A handle, usually attached to a shaft allowing manual rotation of the shaft."
calcifications,C2242558,"Pathologic calcification, calcified structure",Finding,Depósito de calcio en tejidos que normalmente no están calcificados
multilevel,,,,
degenerative,C0011164,Abnormal degeneration,Pathologic Function,None
airway,C0458827,Airway structure,"Body Part, Organ, or Organ Component",The part of the respiratory system between the nose or mouth and the lungs.
obstruction,C0028778,obstruction,Finding,Blockage of the normal flow of the contents of an anatomical passageway.
post CABG,,,,
appropriately,,,,
aligned,C1706765,Alignment,Spatial Concept,The act of adjusting or aligning objects in relation to each other; the result of this activity.
Vascular,C1801960,Vascular,Qualitative Concept,Relating to or containing blood vessels.
diaphragms,,,,
flattened,C0016203,flattened,Functional Concept,No results
markings,,,,
early,C1279919,early,Temporal Concept,At or near the beginning of a period of time or course of events.
institial,,,,
infiltrate,C0332448,Infiltration,Pathologic Function,morphologic abnormality
frank,,,,
atypical,C0205182,atypical,Qualitative Concept,Varying from the norm; not conformable to the type.
lobar,C1522010,lobar,Qualitative Concept,Of or relating to or affecting a lobe.
subtle,,,,
9 mm,,,,
otherwise,C1518425,Not Otherwise Specified,Qualitative Concept,Not characterized in any other way.
aspect,C1879746,Aspect (characteristic),Qualitative Concept,A characteristic to be considered; a distinct feature or element.
elongation,,,,
descending,C0205386,descending,Qualitative Concept,To travel downward.
flattening,C0333074,Flattening deformity,Spatial Concept,None
hemidiaphragms,C1269845,Structure of hemidiaphragm,"Body Part, Organ, or Organ Component",None
diffuse,C0205219,diffuse,Spatial Concept,Widely spread; not localized or confined.
resolving,C1709864,Recovering or Resolving,Conceptual Entity,One of the possible results of an adverse event outcome that indicates that the event is improving.
Mediastinum,C0025066,Mediastinum,Body Location or Region,"A membrane in the midline of the THORAX of mammals. It separates the lungs between the STERNUM in front and the VERTEBRAL COLUMN behind. It also surrounds the HEART, TRACHEA, ESOPHAGUS, THYMUS, and LYMPH NODES."
hila,C2073515,x-ray of chest: appearance of hilum,Diagnostic Procedure,None
Improving,C1272745,Improving (qualifier value),Qualitative Concept,None
Diffuse,C0205219,Diffuse,Spatial Concept,Widely spread; not localized or confined.
moderately,C0205081,Moderate (severity modifier),Qualitative Concept,<p>Indicates the condition may result in noticable adverse adverse consequences but is unlikely to be life-threatening or cause permanent injury.</p>
AP,,,,
<<<<<<<< HEAD:nen/resource/simple/output.csv
diameter,,,,
Scattered,C0439742,Scattered,Spatial Concept,No results
========
diameter,C1301886,Diameter (qualifier value),Quantitative Concept,The length of a straight line passing through the center of a circle or sphere and connecting two points on the circumference.
Scattered,C0439742,Scattered,No results,No results
>>>>>>>> origin/main:nen/resource/output.csv
nodules,C0028259,nodules,Acquired Abnormality,A 1 to 5 cm firm lesion raised above the surface of the surrounding skin; differs from a papule only in size
Lower,,,,
secondary,,,,
accentuation,,,,
Tortuosity,C0333076,Tortuosity,Spatial Concept,No results
Cardiomegaly,C0018800,Cardiomegaly,Finding,Abnormal enlargement of the heart.
Ovoid,C0332492,Ovoid shape,Spatial Concept,None
bilaterally,,,,
infiltrates,C0332448,Infiltration,Pathologic Function,morphologic abnormality
free,,,,
air,C3536832,air,Pharmacologic Substance,No results
Supportive,,,,
Continued,C0444791,Continued movement,Qualitative Concept,None
loss,C1517945,loss,Quantitative Concept,A gradual decline in amount or activity.
fully,,,,
expanded,,,,
dense,C0439794,dense,Qualitative Concept,Having high relative density or specific gravity; permitting little if any light to pass through.
midline,C0549183,Midline (qualifier value),Spatial Concept,"A medial line, especially the medial line or medial plane of the body (or some part of the body)."
IJ,,,,
fluid,C1704353,fluid - substance,Substance,"nonsolid state of matter in which the atoms or molecules are free to move past each other, as in a gas or liquid."
major,C0205164,major,Qualitative Concept,"Greater or bigger in amount, extent, or size."
fissure,C0332469,fissure,Anatomical Structure,A long narrow slit or groove that divides an organ into lobes.
both,C1706086,both,Qualitative Concept,One and the other; relating to or being two in conjunction.
Left - sided,C0443246,Left - sided,Spatial Concept,An abnormal transposition to the left side.
<<<<<<<< HEAD:nen/resource/simple/output.csv
Opacification,C0449584,Opacification,Qualitative Concept,No results
Monitoring,,,,
========
Opacification,C0449584,Opacification,No results,No results
Monitoring,C1283169,Monitoring - action,Activity,None
>>>>>>>> origin/main:nen/resource/output.csv
port,,,,
catheter,C0085590,catheter device,Medical Device,A flexible tube designed to transfer fluids into or out of the body.
abdomen,C0000726,abdomen,Body Location or Region,Porción del cuerpo que se encuentra entre el TÓRAX y la PELVIS.
Hyperinflated,C1167782,Lung hyperinflation,Disease or Syndrome,"Abnormal permanent enlargement of the lung air spaces distal to terminal bronchiole not resulted from wall destruction, e.g. due to loss of opposite lung."
widening,C0332464,widening,Spatial Concept,"Having a width, or side to side dimension, that is greater than is normally expected."
lesion,C0221198,lesion,Finding,"A localized pathological or traumatic structural change, damage, deformity, or discontinuity of tissue, organ, or body part."
over,C0205136,Over (spatial),Spatial Concept,Being above or beyond something.
superior vena cava,C0042459,Superior vena cava structure,"Body Part, Organ, or Organ Component",Trunk of systemic vein which is formed by the union of the right and left brachiocephalic veins and terminates in the right atrium.
intrathoracic,,,,
internal,C0205102,internal,Spatial Concept,Inside or closer to the inside of the body or object.
jugular,C0022427,Structure of jugular vein,"Body Part, Organ, or Organ Component","Veins in the neck which drain the brain, face, and neck into the brachiocephalic or subclavian veins."
trachea,C0040578,trachea,"Body Part, Organ, or Organ Component",The cartilaginous and membranous tube descending from the larynx and branching into the right and left main bronchi.
central,C0205099,central,Spatial Concept,Applies to an abnormality that is located close to the median plane or midline of the body or of the referenced structure. []
superior,C1282910,Upper,Spatial Concept,"In anatomy, indicating higher than a given reference point."
Right - sided,C0444532,Right - sided,Spatial Concept,Pertaining to the physical area of an object that is located to the right of its center.
cavoatrial,,,,
in position,C1550045,in position,Spatial Concept,"<p>Used by one system to inform another that the container is in position for specimen transfer (e.g., container removal from track, pipetting, etc.).</p>"
Increase,C0442805,Increase,Functional Concept,"A process of becoming larger, more numerous, more important, or more likely."
caliber,C1301886,Diameter (qualifier value),Quantitative Concept,The length of a straight line passing through the center of a circle or sphere and connecting two points on the circumference.
veins,C0042449,veins,"Body Part, Organ, or Organ Component","Subdivision of venous tree (organ) which consists of branching sets of veins that form a tree; together with other venous trees (organ part), it constitutes a venous tree (organ). Examples: subclavian venous tree, jugular tree, extrahepatic portal tree, common iliac venous tree."
<<<<<<<< HEAD:nen/resource/simple/output.csv
intravascular,C0442123,intravascular,Spatial Concept,No results
Port - A - Cath,,,,
========
intravascular,C0442123,intravascular,No results,No results
Port - A - Cath,C3495140,Port-A-Cath,Medical Device,"A generic term that describes any implantable venous access device that is inserted into a central vein, and connected to a port that can be palpated and accessed for administration of agents and fluid, or for blood sampling."
>>>>>>>> origin/main:nen/resource/output.csv
cavoatrial junction,,,,
essentially,,,,
inflated,,,,
hemothorax,C0019123,hemothorax,Pathologic Function,"Přítomnost krve v pohrudniční (pleurální) dutině, nejč. po úrazu. (cit. Velký lékařský slovník online, 2016 http://lekarske.slovniky.cz)"
<<<<<<<< HEAD:nen/resource/simple/output.csv
aortic,,,,
knuckle,,,,
calcification,C1533591,calcification,Pathologic Function,No results
demineralization,,,,
========
aortic,C0003483,Aorta,"Body Part, Organ, or Organ Component","Srdečnice. Největší tepna organismu, která vystupuje přímo z levé srdeční komory. Probíhá hrudníkem a břišní dutinou (před páteří) až do bederní oblasti, kde se dělí (bifurkace) na dvě kyčelní tepny (aa. ilicae). Vystupuje z ní v různých částech řada větví, které zásobují okysličenou krví všechny orgány těla. A. ascendens - vzestupná a., počáteční úsek a. přecházející v aortální oblouk (arcus aortae). Navazuje a. descendens, která má část hrudní (a. thoracica) a břišní (a. abdominalis). (cit. Velký lékařský slovník online, 2017 http://lekarske.slovniky.cz)"
knuckle,C0025525,Metacarpophalangeal joint structure,Body Space or Junction,the joints that connect the fingers to the hand.
calcification,C1533591,calcification,No results,No results
demineralization,C0085511,Tooth Demineralization,Disease or Syndrome,"Ztráta minerálních látek z tvrdých tkání těla - kostí a zubů. D. zubu při zubním kazu. (cit. Velký lékařský slovník online, 2016 http://lekarske.slovniky.cz/ )"
>>>>>>>> origin/main:nen/resource/output.csv
Well,,,,
fifth,C0205439,fifth,Quantitative Concept,Following the fourth position in an ordering or series; coming next after the fourth and just before the sixth in position.
anterior,C0205094,anterior,Spatial Concept,Denoting the front surface of the body; often used to indicate the position of one structure relative to another.
Linear,C0205132,Linear,Spatial Concept,A mark that is long relative to its width; a length (straight or curved) without breadth or thickness; the trace of a moving point.
focus,,,,
<<<<<<<< HEAD:nen/resource/simple/output.csv
redistribution,C0332620,redistribution,Functional Concept,No results
hazy,,,,
ill - defined,,,,
Increased,C0205217,Increased,Quantitative Concept,No results
lingular,,,,
faint,,,,
========
redistribution,C0332620,redistribution,No results,No results
hazy,C0848431,cloudy/hazy vision,Sign or Symptom,None
ill - defined,,,,
Increased,C0205217,Increased,No results,No results
lingular,C0225634,Structure of lingular bronchus,"Body Part, Organ, or Organ Component",None
faint,C0039070,Syncope,Sign or Symptom,Transient loss of consciousness.
>>>>>>>> origin/main:nen/resource/output.csv
perihilar,,,,
Multifocal,C0205292,Multifocal,Spatial Concept,"Arising from, pertaining to, or having many locations."
decreased,C0205216,decreased,Quantitative Concept,A subjective response indicating that something is or has decreased.
in extent,,,,
severity,C0521117,Severity of illness,Qualitative Concept,None
Retrocardiac,,,,
valvular,,,,
replacement,C0559956,replacement,Functional Concept,The act of removing one thing and putting another thing in its place.
<<<<<<<< HEAD:nen/resource/simple/output.csv
right internal jugular vein,C0501117,right internal jugular vein,"Body Part, Organ, or Organ Component",No results
Discrete,,,,
worsened,,,,
========
right internal jugular vein,C0501117,right internal jugular vein,No results,No results
Discrete,C0443299,Separate,Qualitative Concept,Independent; not united or joint.
worsened,C4084902,Got Worse,Intellectual Product,A subjective response indicating that something got worse.
>>>>>>>> origin/main:nen/resource/output.csv
infrahilar,,,,
drain,C0180499,Drain device,Medical Device,"Devices designed to establish a channel for the exit of fluids (e.g., air, serum, blood, lymph, bile) or purulent material from a cavity, wound, or infected area. Drains usually consist of flexible, hollow devices (e.g., tubes) with one or more lumina. They are typically made of Silastic, polyvinyl chloride, or, less frequently, rubber; a drain may include a trocar in its lumen. Most drains are used either as components of open drainage systems (i.e., through capillary action and gravity) or in closed systems that usually apply low negative pressure through the drain lumen. Dedicated tubes, catheters, and cannulae are also used for drainage of anatomic sites such as biliary ducts (e.g., T tubes, catheters), the urethra, the stomach (i.e., nasogastric tubes), and the brain ventricle (e.g., hydrocephalus catheters, shunts)."
internal jugular,C0226550,Internal jugular vein structure,"Body Part, Organ, or Organ Component",A continuation of the sigmoid sinus of the dura mater; joins the subclavian vein to form the brachiocephalic vein.
postoperative,C0032790,Postoperative Period,Temporal Concept,Tiden etter en operasjon.
Midline,C0549183,Midline (qualifier value),Spatial Concept,"A medial line, especially the medial line or medial plane of the body (or some part of the body)."
drains,C0180499,Drain device,Medical Device,"Devices designed to establish a channel for the exit of fluids (e.g., air, serum, blood, lymph, bile) or purulent material from a cavity, wound, or infected area. Drains usually consist of flexible, hollow devices (e.g., tubes) with one or more lumina. They are typically made of Silastic, polyvinyl chloride, or, less frequently, rubber; a drain may include a trocar in its lumen. Most drains are used either as components of open drainage systems (i.e., through capillary action and gravity) or in closed systems that usually apply low negative pressure through the drain lumen. Dedicated tubes, catheters, and cannulae are also used for drainage of anatomic sites such as biliary ducts (e.g., T tubes, catheters), the urethra, the stomach (i.e., nasogastric tubes), and the brain ventricle (e.g., hydrocephalus catheters, shunts)."
in place,,,,
Swan - Ganz,C0007438,Swan-Ganz Catheterization,Diagnostic Procedure,"Placement of a balloon-tipped catheter into the pulmonary artery through the antecubital, subclavian, and sometimes the femoral vein. It is used to measure pulmonary artery pressure and pulmonary artery wedge pressure which reflects left atrial pressure and left ventricular end-diastolic pressure. The catheter is threaded into the right atrium, the balloon is inflated and the catheter follows the blood flow through the tricuspid valve into the right ventricle and out into the pulmonary artery."
pulmonic,C5453853,Pulmonic flow,Clinical Attribute,None
placement,C1524072,placement,Qualitative Concept,"Position or arrangement, as of the teeth; the state of being placed or arranged, as the assignment of a person to a appropriate clinical study."
nondistended,,,,
5 cm above,,,,
Median,,,,
migrated,C0232902,migrated,Functional Concept,No results
proximally,,,,
cardia,C0007144,Cardia of stomach,Body Location or Region,"Část žaludku při vyústění jícnu, umístěná blízko srdce. V této části žaludku nejsou parietální buňky vylučující kyselinu chlorovodíkovou. (upraveno podle: Velký lékařský slovník online, 2018 http://lekarske.slovniky.cz)"
blurring,C1847840,Visual blurring,Finding,None
horizontal,C0205126,horizontal,Spatial Concept,Parallel to or in the plane of the horizon.
side port,,,,
the Swan - Ganz,,,,
other,C0205394,other,Qualitative Concept,Different than the one(s) previously specified or mentioned.
<<<<<<<< HEAD:nen/resource/simple/output.csv
homogeneous,,,,
worrisome,,,,
Trace,,,,
constant,C1547014,constant,Quantitative Concept,No results
========
homogeneous,C1881065,Homogeneity,Qualitative Concept,The quality or state of being similar or comparable in kind or nature or of being uniform throughout in composition or structure.
worrisome,C0233481,Worried,Finding,Mental distress resulting from concern for something impending or anticipated.
Trace,C0442822,trace amount,Quantitative Concept,None
constant,C1547014,constant,No results,No results
>>>>>>>> origin/main:nen/resource/output.csv
Biapical,,,,
Surgical,C0587668,Surgical service,Health Care Activity,<p>Provision of surgical treatment.</p>
neck,C0027530,neck,Body Location or Region,La parte del cuerpo humano u otro animal que conecta la CABEZA con el resto del cuerpo
<<<<<<<< HEAD:nen/resource/simple/output.csv
pneumomediastinum,,,,
symmetrical,C0332516,symmetrical,Finding,No results
========
pneumomediastinum,C0032283,"Pneumomediastinum, Diagnostic",Diagnostic Procedure,Deliberate introduction of air or gas into the mediastinum as an aid to examination and diagnosis.
symmetrical,C0332516,symmetrical,No results,No results
>>>>>>>> origin/main:nen/resource/output.csv
apical,C0205111,apical,Spatial Concept,"Applies to an abnormality whose distribution and appearance are located at the apex of an organ. For instance, apical refers to the superior portion of the lung. []"
parenchyma,C0933845,parenchyma,"Body Part, Organ, or Organ Component","The tissue that constitutes the essential part of an organ as contrasted with e.g., connective tissue and blood vessels."
biapical,,,,
Upper,C1282910,Upper,Spatial Concept,"In anatomy, indicating higher than a given reference point."
paratracheal,C0442143,paratracheal,Spatial Concept,Regions near to the trachea.
surgical,C0587668,Surgical service,Health Care Activity,<p>Provision of surgical treatment.</p>
deviation,,,,
thyroid,C0040132,Thyroid Gland,"Body Part, Organ, or Organ Component","Lobular organ the parenchyma of which consists of ductless, glandular follicles filled with colloid. Examples: thyroid gland proper, accessory thyroid gland, lingual thyroid gland."
vessel on end,,,,
thyroidectomy,C0040145,thyroidectomy,Therapeutic or Preventive Procedure,Surgery to remover part or all of the thyroid gland.
<<<<<<<< HEAD:nen/resource/simple/output.csv
malignancy,,,,
Thoracic,,,,
Consolidative,C0702116,Consolidative,Qualitative Concept,No results
RELEVANT,,,,
CHANGE,,,,
PARENCHYMAL,,,,
OPACITIES,,,,
PNEUMONIA,,,,
OTHER,,,,
FOCAL,,,,
DIFFUSE,,,,
LUNG,,,,
DISEASE,,,,
NORMAL,,,,
SIZE,,,,
CARDIAC,,,,
========
malignancy,C0006826,Malignant Neoplasms,Neoplastic Process,"A tumor composed of atypical neoplastic, often pleomorphic cells that invade other tissues. Malignant neoplasms often metastasize to distant anatomic sites and may recur after excision. The most common malignant neoplasms are carcinomas (adenocarcinomas or squamous cell carcinomas), Hodgkin and non-Hodgkin lymphomas, leukemias, melanomas, and sarcomas. Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C9305"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C9305"" NCI Thesaurus)"
Thoracic,C0817096,Chest,Body Location or Region,"Subdivision of the trunk, which is demarcated from the neck by the plane of the superior thoracic aperture and from the abdomen internally by the inferior surface of the diaphragm and externally by the costal margin; together with the abdomen, pelvis and perineum, it constitutes the trunk. Examples: There is only one thorax."
Consolidative,C0702116,Consolidative,No results,No results
RELEVANT,C2347946,Relevance,Qualitative Concept,The relation of something to the matter at hand.
CHANGE,C0392747,Changing,Functional Concept,The act of alteration or modification; changed or altered in form or character.
PARENCHYMAL,C4277702,Parenchymal Tissue,Tissue,"Tkáň, která tvoří základní nebo funkční část nějakého tělního orgánu (např. plicní parenchym, jaterní parenchym nebo parenchym ledvin)."
OPACITIES,C1265876,Abnormally opaque structure (morphologic abnormality),Pathologic Function,None
PNEUMONIA,C0032285,Pneumonia,Disease or Syndrome,"Infekce plic, často doprovázená zánětem."
OTHER,C0205394,Other,Qualitative Concept,Different than the one(s) previously specified or mentioned.
FOCAL,C0205234,Focal,Spatial Concept,Limited to a specific area.
DIFFUSE,C0205219,Diffuse,Spatial Concept,Widely spread; not localized or confined.
LUNG,C0024109,Lung,"Body Part, Organ, or Organ Component","Lobular organ the parenchyma of which consists of air-filled alveoli which communicate with the tracheobronchial tree. Examples: There are only two instances, right lung and left lung."
DISEASE,C0012634,Disease,Disease or Syndrome,"Definovaný patologický proces s charakteristickými příznaky a symptomy. Nemoc může postihnout celé tělo nebo jeho část a její etiologie, patologie a prognóza mohou být známé nebo neznámé."
NORMAL,C0205307,Normal,Qualitative Concept,"In pathology, a term that is used to describe a tissue specimen that has a normal appearance."
SIZE,C0456389,size,Spatial Concept,Relative physical dimensions of objects or stimuli.
CARDIAC,C0018787,Heart,"Body Part, Organ, or Organ Component","Det hule, muskulære organet som opprettholder blodsirkulasjonen."
>>>>>>>> origin/main:nen/resource/output.csv
SILHOUETTE,,,,
HILAR,C0205150,Hilar,Spatial Concept,Refers to the area associated with the hilum.
MEDIASTINAL,C1522718,Mediastinal,Spatial Concept,Related to the mediastinum.
STRUCTURES,C0678594,Structure,Spatial Concept,The components and their relationship and manner of arrangement in constituting a whole.
AZYGOS,,,,
LOBE,C0796494,lobe,"Body Part, Organ, or Organ Component","A portion of an organ, such as the liver, lung, breast, or brain."
remainder,,,,
accessory,C2963249,accessory,Manufactured Object,Something added to extend a whole and to make an addition.
azygos,C0265794,Azygos lobe of lung,Congenital Abnormality,"A small lobe sometimes found on the upper part of the right lung, formed by an infolding of the pleura and separated from the rest of the upper lobe by a deep groove lodging the azygos vein."
