name,ui,normalized_name,semanticTypes,definition
20 cm for more optimal placement,unnormalizable,unnormalizable,,
which,unnormalizable,unnormalizable,,
Pigtail,C0879203,Pigtail Catheters,,
pnemonia,unnormalizable,unnormalizable,,
Hila,C0456973,Hilar lymphadenopathy,,
indistinct,unnormalizable,unnormalizable,,
collection,unnormalizable,unnormalizable,,
cavitary,unnormalizable,unnormalizable,,
OG,unnormalizable,unnormalizable,,
ETT,C4049753,Endotracheal tube diameter:Len:Pt:Intubation tube:Qn,,
postion,unnormalizable,unnormalizable,,
Dahboff,unnormalizable,unnormalizable,,
plerual,unnormalizable,unnormalizable,,
Distal,C0205108,Distal (qualifier value),,
hyperinflation,C1167782,Lung hyperinflation,,
Mild - to - moderate,C1299392,Mild to moderate,,
mild - to - moderate,C1299392,Mild to moderate,,
triple,unnormalizable,unnormalizable,,
no change,C0442739,No status change,,
pneumonic,unnormalizable,unnormalizable,,
outer margin,unnormalizable,unnormalizable,,
Triple,unnormalizable,unnormalizable,,
in the expected positions,unnormalizable,unnormalizable,,
cardiomyopathy,C0878544,Cardiomyopathies,,
Position,unnormalizable,unnormalizable,,
radiopaque,unnormalizable,unnormalizable,,
one - third,unnormalizable,unnormalizable,,
1 cm,unnormalizable,unnormalizable,,
mass,unnormalizable,unnormalizable,,
glenohumeral,C1269056,Entire glenohumeral joint,,
Minimal to no,unnormalizable,unnormalizable,,
The right - sided,unnormalizable,unnormalizable,,
Multilevel,unnormalizable,unnormalizable,,
Obscuration,C4727091,Obscure,,
Operation,C0543467,Operative Surgical Procedures,,
angles,C0205143,Angular,,
not well visualized,unnormalizable,unnormalizable,,
not increased,unnormalizable,unnormalizable,,
No change,C0442739,No status change,,
sized,unnormalizable,unnormalizable,,
It,unnormalizable,unnormalizable,,
rounded,C0332490,Round shape,,
Opacities,C1265876,Abnormally opaque structure (morphologic abnormality),,
Emphysema,C0034067,Pulmonary Emphysema,,
hyperexpansion,C0546312,Hyperexpansion of lung,,
T 12 vertebral,C0447808,T12 thoracic vertebra,,
opportunistic,unnormalizable,unnormalizable,,
reaction to inhaled substances,C0020517,"Hypersensitivity Reaction Type IV, Cell-Mediated",,
scapular,C0446464,Entire scapular region,,
metastatic,unnormalizable,unnormalizable,,
callus,unnormalizable,unnormalizable,,
lucent,unnormalizable,unnormalizable,,
centers,unnormalizable,unnormalizable,,
intersitial,C0021890,Interstitial,,
similar to prior radiographs,unnormalizable,unnormalizable,,
hyperexpanded,unnormalizable,unnormalizable,,
evidence of prior smoking,C0678833,History of smoking,,
configurational,unnormalizable,unnormalizable,,
semi - linear,unnormalizable,unnormalizable,,
deposits,C0333562,Deposition,,
hypertranslucent,unnormalizable,unnormalizable,,
lucencies,unnormalizable,unnormalizable,,
wedging,unnormalizable,unnormalizable,,
processes,C3714634,Biological Processes,,
lymphomatous,C2960101,Lymphomatous infiltration,,
replacements,unnormalizable,unnormalizable,,
waterseal,unnormalizable,unnormalizable,,
takeoff,unnormalizable,unnormalizable,,
regions,C0005898,Body Regions,,
deviated,C0012727,Spatial Displacement,,
sequela,C0543419,Sequela of disorder,,
amount of,unnormalizable,unnormalizable,,
AC,unnormalizable,unnormalizable,,
Overlying,unnormalizable,unnormalizable,,
EKG,C0013798,Electrocardiogram,,
Minimally,unnormalizable,unnormalizable,,
Bronchovascular,C2326513,Bronchovascular bundle,,
separation,unnormalizable,unnormalizable,,
